"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54"
3.8893412250367326e-6,5.619602062216764e-6,-9.84696916106681e-11,1.9191510587433444e-10,-6.855033629487149e-10,-9.429495310620844e-9,3.0138066714075364e-7,-5.0026145680669415e-6,-2.2403456178713552e-7,1.145096825672861e-7,6.90111513153112e-9,-4.5664609067781224e-7,-1.0506891616705679e-7,-1.4838079129220617e-8,5.406552636319295e-7,-3.296382915927897e-5,5.450662132640553e-7,2.5338316364789682e-5,-1.0678419209637108e-8,2.578123285526198e-7,3.3986675340204024e-8,1.6294389914515883e-7,3.464201695302427e-6,7.613461173606789e-9,1.2846362900570024e-5,4.815460338135445e-6,1.112008165771295e-6,-4.4854521433442616e-7,7.500729233685062e-8,-1.3583054807983573e-6,-2.959614363905741e-7,-1.0318039930046708e-9,-1.3725901609628964e-10,3.675403863263421e-8,5.033003738865045e-7,1.6240751908427304e-7,1.9440270476186492e-8,5.3514426765367155e-5,0.0002022691597536658,-1.8577838479564004e-7,-1.0368970490421766e-7,9.712954863649282e-6,6.934371848572899e-8,4.623139945302143e-6,9.61556693406353e-9,2.3740008954718774e-6,1.3072671914466356e-7,6.123673150266347e-8,0.0015784178883075223,8.434698451559781e-5,-2.7774000066480176e-5,-9.57524140231202e-12,9.463784521000423e-10,-3.844353462447224e-6
5.619602062216764e-6,0.022459902195162113,-1.4949223287840154e-8,1.6270242268694647e-9,-5.685017874652619e-9,-1.0512616866329353e-7,-5.356267647467949e-5,-2.3932193341258104e-5,-0.0004962919957965948,-7.079131112278045e-7,8.707342628863292e-7,3.934637294822019e-5,-1.756922212153092e-5,-2.432563516829081e-7,5.325610950288641e-5,0.001528457736940191,2.0335752481351776e-5,-0.0026961775863644324,5.598471639707147e-6,-4.369545451196161e-5,-3.9614969120845245e-6,9.184516397856576e-6,0.0007547804033821371,8.683046842472516e-5,-0.006671254586440209,0.0007647424640445489,-9.892448424212492e-5,7.021877507514179e-5,-1.7072090025406948e-5,-0.0001014486798930761,-2.2422335764507462e-5,5.4538623910336827e-8,-7.006299444157662e-8,-5.656864561075887e-6,-4.373626594813324e-5,-4.0429353895666585e-5,-3.0100962122386024e-6,-0.003019731333474093,0.011502661962916945,6.233067098545979e-5,2.262213570882775e-6,-0.0007336632619482646,1.182940251584328e-5,0.0005132591887614994,1.1055419182322595e-6,0.00012860166558357198,5.403572307259573e-6,-9.116671487638666e-6,-0.04220155540407961,-0.002170432720057465,0.0034404242223813825,4.128627586351123e-9,4.365360983164028e-6,0.00022025503469841188
-9.84696916106681e-11,-1.4949223287840154e-8,1.28210498505424e-10,3.872234286002607e-12,-6.222337163749825e-12,-2.4455917523105046e-11,-6.163637469750147e-10,4.872873305259089e-10,2.357833717884111e-9,-1.097803008444605e-9,-2.2481315124857675e-11,1.4089705243048688e-9,2.1571083558184944e-9,1.5056830114758062e-11,1.5297713094890583e-8,9.732478397753654e-8,-2.9385868852707035e-9,8.610885658735012e-9,-1.3502167242934466e-10,1.23482805641113e-9,-3.264234976218367e-11,-3.879044596181784e-10,4.172068786842233e-8,1.4954431501259388e-9,2.4353248021818807e-7,-5.3416365062886274e-8,-1.880329370203642e-9,3.4867199211229947e-9,1.9259683405020426e-10,2.202933355545356e-9,7.357084923460861e-10,3.706420762089534e-12,-4.609340355024546e-12,2.7964796716122255e-10,1.3021336367897414e-10,-1.0241775968854215e-9,2.077272466634869e-9,-5.126335187947093e-7,-3.65228557068254e-6,1.1995001374438174e-9,-1.4588119436483986e-9,3.3669186878199936e-8,-3.0648366236219785e-10,1.889645516651573e-8,6.26218004114093e-11,2.311022493937342e-9,3.010635551709832e-10,-2.4943820022757286e-12,-1.1287373695773443e-5,-6.174777440405345e-7,-5.1252228825559e-8,-3.5027145943169385e-13,-1.3625971711790605e-10,-1.6455092246250904e-8
1.9191510587433444e-10,1.6270242268694647e-9,3.872234286002607e-12,2.765441829355452e-10,-2.1718745286953328e-12,-1.476693915221875e-11,3.2877747909336894e-9,-9.056698082896702e-10,4.3909441638036706e-9,6.261658830160994e-10,-5.356450577091811e-10,4.691363674140119e-9,-3.858411609621467e-9,-1.368493197789281e-10,6.992349120248367e-8,1.9087234139086207e-7,4.955146722460387e-9,-2.9314525957205966e-8,-3.049048617244248e-9,2.5647805364527414e-10,-8.830662282376552e-10,-8.07002466414651e-10,-3.4937320293455014e-8,-5.782883847628927e-10,-1.1894948275765352e-7,1.792608242970428e-8,2.1111956498152986e-9,-1.9240679362559525e-9,-5.504616372246212e-10,-2.5397766661612427e-8,-3.0688873347115124e-9,1.6278612407452e-11,7.367693813848934e-12,-4.665841765458681e-11,-2.3175009236205466e-10,7.577702942814295e-11,-1.5500803212601899e-9,-7.51379083174588e-8,6.4928329949458e-7,9.098874803320175e-9,-4.873376946989659e-9,9.455905869690695e-8,-3.227815043224352e-10,-2.6821459745112993e-8,5.3134684988505846e-11,-2.600320836312992e-9,-4.3712188387631195e-10,-7.804064494415732e-11,2.487792865871472e-6,1.2740543024398712e-7,2.266107335294185e-7,7.221929633656965e-13,-2.459278535265163e-11,-2.396210199330404e-8
-6.855033629487149e-10,-5.685017874652619e-9,-6.222337163749825e-12,-2.1718745286953328e-12,1.6737482884069887e-10,-6.990115762661761e-13,1.8555692424438672e-9,-4.202296368805252e-10,-3.838209931140752e-9,2.894378708750052e-10,1.849520262322765e-10,-2.5033490573607708e-8,3.775800459729065e-9,-1.5145570838203687e-10,4.94417493845193e-8,1.6000160342962363e-7,4.509252994504283e-9,4.329008381579811e-7,-9.45952629318336e-10,-8.877007946481854e-9,-5.001497816608045e-10,2.0581717752029482e-9,-1.2142573546689778e-8,-2.3285813257595663e-9,1.4452929164089446e-7,-1.2401071123049865e-7,1.2886704892594102e-8,-1.368504830308531e-9,9.079936695053165e-10,1.1466121098513062e-8,-9.304894429011554e-9,4.906542402620572e-12,3.290858125112527e-12,-8.05928621496617e-11,1.960167664423009e-9,1.4264887953804278e-10,-4.534427759196699e-10,2.077634267595956e-7,-1.4032907760996894e-6,-1.3909007550044455e-8,6.140106904273e-10,1.0008346325447981e-7,-2.6439771574615026e-9,-7.046518834188622e-8,-2.395740950236045e-10,4.5731394343108045e-9,7.328449764979184e-11,2.095867481959991e-9,4.905437888166205e-6,2.541710475048536e-7,-1.254109088150055e-6,-1.0451981767655235e-13,-5.106941003304925e-11,-3.680161041801387e-8
-9.429495310620844e-9,-1.0512616866329353e-7,-2.4455917523105046e-11,-1.476693915221875e-11,-6.990115762661761e-13,2.273361689119191e-8,-7.09144076988353e-8,3.3805359461915793e-9,6.89737082366508e-8,6.681240179452304e-9,3.0561890959427987e-9,6.093168978624597e-8,-4.131744690842961e-7,1.2287453023337386e-10,2.259870311927986e-7,2.2255863225123666e-7,-4.8141158351714256e-8,1.6634052852049835e-6,-2.281033019807543e-9,1.4762884018327865e-8,-2.279301228196984e-9,3.0893457227906487e-9,-6.409655851498441e-7,-6.023808347190385e-8,1.9926721614011914e-6,-1.2146397259088195e-6,6.089262054602471e-8,-5.751827860304967e-8,-1.7085000368553995e-8,2.0992997957704303e-7,8.261023477233405e-10,-1.1879490876470265e-10,-2.8864577919288327e-11,-1.2541387701628754e-10,1.629522136051931e-8,-2.2359906461921007e-8,1.2781329495572916e-9,1.6154482200718014e-7,-4.4095224489005304e-5,-1.2870350693278264e-8,1.655639273888899e-8,-1.1952024587738837e-7,3.416295868964833e-9,-2.8991518731937023e-7,9.499013089613887e-11,-3.167102602410429e-8,6.716356629591374e-10,-5.796230236884899e-9,-9.627945856685912e-5,-5.4662556885098705e-6,-6.996702395671949e-6,-9.017107144303156e-12,-3.864297781423268e-9,-1.685396671247174e-7
3.0138066714075364e-7,-5.356267647467949e-5,-6.163637469750147e-10,3.2877747909336894e-9,1.8555692424438672e-9,-7.09144076988353e-8,0.00010411420359822575,-1.8500423797391199e-6,5.085563111457158e-6,4.748657111895583e-7,7.610892934107946e-8,1.7684983704136743e-6,4.371021736943891e-6,1.373460734964653e-7,-3.0567650190580684e-5,-0.00014819081143735042,-3.7749775658864895e-6,-0.00026491867542941536,-4.1320560370996064e-7,-8.427500328370532e-7,-2.4979281293908806e-7,1.1144616058969764e-6,-3.5700691766001088e-6,1.910557752742699e-6,0.00019154133750952693,9.171080321204873e-6,-5.348918595358841e-6,9.831412826903088e-7,2.9774855000522464e-8,-4.232473745181255e-6,-1.112334924567479e-6,1.0900179031945687e-9,-2.043654384975637e-9,-6.055916978279248e-7,-8.886487035729138e-7,-1.272003700048405e-6,6.977677114943835e-7,-4.16506981044176e-5,0.00038713969196453455,-2.5978349241040737e-6,1.5567432872667811e-6,-0.00010129876250908049,2.4667529306776407e-7,-3.220027895134982e-5,2.86538286082106e-8,-2.9226095784970906e-6,-1.8248740984691758e-7,-1.4282827376791928e-6,0.005084662588919247,0.0002872051962868873,3.265955517524765e-5,7.145308152481267e-11,1.262043155634668e-7,-1.807857018974028e-5
-5.0026145680669415e-6,-2.3932193341258104e-5,4.872873305259089e-10,-9.056698082896702e-10,-4.202296368805252e-10,3.3805359461915793e-9,-1.8500423797391199e-6,9.026171739345173e-5,-4.959278776509726e-6,-4.88985804653934e-8,-9.619502864839016e-8,2.1771833663040333e-6,3.845247747164489e-6,1.5014961124748537e-8,-9.122494635106998e-6,0.00012558114926076238,2.319553731763292e-6,0.0003261374165669685,7.103263891253118e-7,3.5211469796908976e-6,-8.690786504477846e-8,-1.9170900487449378e-7,-1.0932119791717893e-5,-4.598677352780821e-6,-7.241268243613763e-5,5.01032293474446e-5,1.109365555490244e-5,-6.090676920377948e-6,2.2365304283095424e-8,-2.223374437150853e-6,1.3737173527894526e-6,2.6719567710004723e-9,2.7498113766713723e-9,1.1910754454014552e-6,2.007797333195343e-6,1.6170293153625422e-7,-4.754746071565823e-7,0.00019152428278870992,0.0009069690386769475,-1.5280265049622115e-6,1.863563473124174e-6,-4.619418309119656e-5,1.0660084717150606e-7,-1.6188939613023396e-5,2.1085779140611476e-8,-4.4783921202003e-6,-2.568793511862407e-7,-4.1477011728972434e-7,0.009157322069363602,0.00048062475780599756,0.0007528561806080395,4.623941766720461e-10,-1.0917541585542362e-7,1.8961920751029286e-6
-2.2403456178713552e-7,-0.0004962919957965948,2.357833717884111e-9,4.3909441638036706e-9,-3.838209931140752e-9,6.89737082366508e-8,5.085563111457158e-6,-4.959278776509726e-6,0.0006490140912380639,-1.2457800548576332e-6,-2.7380516861395387e-7,-3.7401177922630445e-6,3.546127989411001e-6,4.1374653763641137e-7,3.7231510065129005e-5,0.0002812479333945942,2.3002303414530032e-6,-0.00040481517728538575,7.905223625254536e-7,-4.308288587183505e-6,-4.454776687834133e-8,6.680855659637197e-6,-5.969002861566045e-5,-9.971178176069973e-6,0.0006529511969945171,1.9023817287451865e-5,1.3431586705217252e-6,-5.071888752856651e-6,8.164670135148039e-7,1.1738146479656572e-5,-9.047094462803763e-6,1.51776312985934e-8,-1.205076502199886e-9,8.610776124612107e-7,2.3194703418184463e-6,1.3986773792801528e-6,-9.723301425701852e-8,-0.00030364965409353814,-0.0019093602200006092,-8.036190380017353e-6,8.47485070334032e-7,3.321998492678061e-5,-7.829837802777199e-7,3.301772224228658e-5,1.0482227705333217e-7,-1.792267435722103e-5,-6.922506706642098e-7,-4.390064556078505e-7,0.0032396225983496243,0.00017436653620707436,-0.0012638171897846949,-1.125129230850404e-9,1.3873809620976024e-6,-4.500473859238934e-5
1.145096825672861e-7,-7.079131112278045e-7,-1.097803008444605e-9,6.261658830160994e-10,2.894378708750052e-10,6.681240179452304e-9,4.748657111895583e-7,-4.88985804653934e-8,-1.2457800548576332e-6,1.847546062826281e-6,-3.148684491863659e-8,-2.0752658502668406e-7,1.6324807835101665e-7,8.586490906368547e-9,-1.2308183658177563e-6,4.977989311723201e-6,7.928677877664625e-8,6.042983761590608e-6,-3.8429361939416904e-8,1.3109386153347283e-7,9.01127330269115e-8,-9.615449961600421e-8,1.8718851273557125e-6,-3.928418644042773e-8,-2.1933417604261713e-5,-1.5782928699958184e-6,4.8141545498878344e-8,-5.267908692311969e-7,-1.0385989924975301e-7,-5.140687611859449e-7,3.425867106612657e-7,1.5055867560172084e-10,1.4908125440750306e-10,1.1565911438469847e-7,1.8656037311895416e-7,1.8630370211043777e-7,5.70848654051098e-9,-5.932928240564748e-6,-6.272469383880721e-5,3.601801777565625e-7,-2.2356333794944207e-7,-1.0420217357004877e-6,-1.7638873624904118e-8,5.641457087671715e-6,5.20936460126306e-9,1.1429031363504508e-6,6.291552112065609e-8,-8.594292375758367e-9,-4.5967454092050746e-6,-9.785242520439067e-7,-8.902767947870099e-6,5.156193889983028e-12,3.005690197126971e-8,5.013871007820182e-6
