"parameter_names","parameter_values"
sd_temp,0.07181093067320886
sd_ocean_heat,1.9275030364617105
sd_glaciers,0.0003261179539088905
sd_greenland,0.0004729452518367764
sd_antarctic,0.00022453045313064717
sd_gmsl,0.0023184530920933592
sigma_whitenoise_co2,0.24874906705886776
rho_temperature,0.6491074405003844
rho_ocean_heat,0.3699472661003126
rho_glaciers,0.9890511005953592
rho_greenland,0.9881200859518854
rho_antarctic,0.883559933805424
rho_gmsl,0.5845433900619466
alpha0_CO2,0.01747661930506533
CO2_0,280.6118311713796
N2O_0,265.8216002710652
temperature_0,0.03080607935528099
ocean_heat_0,-18.78083302239965
thermal_s0,-0.012569758833625728
greenland_v0,7.299229474020849
glaciers_sl0,0.016316274646012666
antarctic_s0,-0.04722682952346443
Q10,2.175973073353404
CO2_fertilization,0.6409554304541238
CO2_diffusivity,21.87290825570522
heat_diffusivity,2.567331718675641
rf_scale_aerosol,0.7053484102104212
climate_sensitivity,2.200318334223919
thermal_alpha,0.16381810556282442
greenland_a,-0.373247127059377
greenland_b,6.574470171278827
greenland_alpha,1.8984697598126468e-5
greenland_beta,0.0005413505483354885
glaciers_a,0.39605553132636495
glaciers_b,0.9750717620539248
glaciers_T_lia,-0.9391067877330859
glaciers_f,0.5585314922190725
glaciers_tau_fast,61.4413203038075
glaciers_tau_slow,687.585822724976
anto_alpha,0.9686757422404695
anto_beta,1.7081447542840336
antarctic_gamma,1.1668690509332418
antarctic_alpha,0.02106485522296325
antarctic_mu,13.063938540094808
antarctic_nu,0.012524170292834279
antarctic_precip0,-0.7316489045913673
antarctic_kappa,0.02614475892272411
antarctic_flow0,1.2469673295512387
antarctic_runoff_height0,2017.2280889490335
antarctic_c,114.86710343323023
antarctic_bed_height0,803.5981158569496
antarctic_slope,0.0006697774839490882
antarctic_lambda,0.011034938988377044
antarctic_temp_threshold,-16.23840461644888
