x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56
3.006529039357715e-6,-3.859472257438626e-7,-2.3239519620348308e-12,-1.5754051876678118e-10,4.916049299246184e-10,1.0837366263715249e-10,-2.633396110717336e-7,-1.1320761629801619e-5,-1.0478605611951144e-6,-1.3520251162042713e-6,-1.8810385455932823e-8,1.047438795786828e-8,4.3982128771801076e-7,-1.3509843099966042e-8,1.6493179310538738e-6,8.636300979314885e-6,1.0496344567377652e-7,7.964217512604408e-6,1.241219507233792e-8,-1.1507225077057425e-7,3.677445472450163e-8,-1.909159144563263e-8,-3.2898054384085374e-6,-9.010795059610653e-7,6.721963350668733e-5,-1.9248539382210192e-6,1.2436845976658103e-7,-7.950170212889725e-7,-7.798151983620745e-8,1.643579902231191e-7,-7.323635545656485e-7,-3.9754965046867426e-10,-3.464533454797741e-10,2.698875598072153e-7,-1.0924771904568022e-7,2.975657974732594e-7,3.095911964009068e-7,-3.285277702530972e-5,0.0002816770764511051,2.4746391405642534e-7,1.201498023921642e-7,-3.191529274844817e-6,-6.817696018609048e-9,-5.203493998385377e-6,-4.299876452992135e-9,1.0631660064281012e-6,7.063215662082855e-8,-2.8298831290518014e-8,0.0009778019888839016,5.575957506877716e-5,-0.00011934934925116426,-8.725172512736326e-11,-3.989944292556953e-8,1.893760452874662e-6,0,0
-3.859472257438626e-7,0.02775089397018017,-2.6531071477680248e-8,-6.322169850711404e-8,-4.4711527845863944e-8,8.078070404635607e-8,-2.7785876420442136e-5,-0.00012734916104241534,-0.0008138826567198717,-0.0002069333800601755,3.9908212105666615e-7,1.0946853505866823e-5,-6.50536606459861e-5,-9.431816213254554e-7,0.00015794461466413188,0.0001896076459160301,-4.286680163843695e-5,-0.011203182365269267,-4.113627277789687e-6,-6.208312558945929e-6,1.0161993890315751e-5,-8.59609768332558e-6,0.000247966246435643,5.717928918935799e-5,0.00024259431273325656,0.00273624792195515,-0.00018534844170428591,0.000321358969046614,-4.550728433229229e-5,2.0683704514560783e-5,1.5410565261909508e-5,-2.302453970766769e-8,-6.293289922826332e-9,-1.9222103787668597e-5,-4.901854628860425e-5,2.5260423478467674e-6,-8.658030071973819e-5,-0.009346055568402206,-0.0498454215961264,-5.5059170316845014e-6,-1.7623558227659316e-5,-2.6524146220979283e-5,6.4237725451812e-7,0.00013058529306421822,5.928063891367298e-7,-5.212292573092208e-5,-3.3374124416544042e-6,-1.869192745232933e-6,-0.06454995407005855,-0.003430498241084502,-0.0025681225036557637,-1.1399964062382005e-9,3.977864942094524e-7,0.00036454578054760564,0,0
-2.3239519620348308e-12,-2.6531071477680248e-8,4.363959981199394e-10,1.1526381571577269e-12,-1.2234823839450633e-11,7.468346366871679e-14,9.382916576865638e-10,-1.1764536629503148e-8,1.6557884909470626e-8,5.7419397763474706e-8,6.010276073376436e-11,4.387145992062059e-9,-6.669904258409968e-10,-1.3642228748651684e-10,4.481232436923147e-8,-1.0549175961423685e-7,-1.0975255790080218e-9,-1.3339085773223067e-7,2.8230631785643214e-9,-1.1491747642552834e-9,1.1269061888539778e-9,-7.546402037545407e-10,1.998931845314241e-8,2.5241110341377035e-9,1.8539164635024768e-7,1.2423984398358681e-8,-6.6885840113376106e-9,-7.275286129329721e-9,-1.933445530075171e-9,1.1960150431454012e-8,9.98395621559555e-10,-6.459216698945139e-12,4.526776155393684e-12,2.995066407669918e-9,3.0338104559039313e-9,1.182273057750412e-8,-9.603879738894422e-9,-1.3841280241315828e-6,1.5378145562488066e-6,2.7121914511414145e-11,5.751754858752513e-10,4.013175246181884e-8,1.6151268138704702e-9,7.331262867128754e-8,8.728616953661687e-11,8.295490701923751e-9,6.912538075938045e-10,-2.27526690723235e-10,-1.4695499566162716e-5,-8.338608895261126e-7,2.4925633596247493e-6,9.237739169369528e-13,-1.677680242239393e-10,-1.731891726781307e-8,0,0
-1.5754051876678118e-10,-6.322169850711404e-8,1.1526381571577269e-12,2.2486349727116444e-10,-3.829307500251692e-12,3.496595054570467e-11,-5.014183251865092e-10,-7.77732961599899e-9,3.1704743908605247e-9,-8.50531282809225e-9,-5.876648760582851e-10,2.9287526845786666e-9,-5.456604465961567e-9,-3.695026283477817e-11,3.8783662605770915e-8,-7.543069739465886e-8,-2.4954637523504936e-9,-1.7894799954185732e-7,-7.795838036419731e-10,-5.70197034174679e-9,-3.250786623407567e-10,1.0395476389631388e-9,2.3195533393257877e-8,8.000519628108554e-9,-1.150604365786736e-7,9.313256340953659e-9,-6.576563303611748e-9,2.669586037871219e-10,-3.2588658034503956e-9,-7.93211127599876e-9,-1.3172753684956034e-8,5.974905073987728e-12,5.798438182201311e-13,-3.5883536011790238e-9,2.7670433316956133e-9,3.4788502599649124e-9,-5.192206224968434e-10,-5.216186582160743e-7,-2.930914411928547e-6,5.598612019665809e-9,-3.2337638265075517e-9,4.73610291033793e-8,-1.0613322037206106e-9,4.565414240515091e-8,-2.8963063860405324e-12,-1.3258785891061997e-8,-6.020230102387161e-10,-3.1412699295649573e-9,1.568406173747892e-5,8.931085575734598e-7,-4.6493313996298315e-7,-2.855982476324154e-13,2.5305714802248554e-11,-3.1278098267490916e-8,0,0
4.916049299246184e-10,-4.4711527845863944e-8,-1.2234823839450633e-11,-3.829307500251692e-12,1.856891092713218e-10,-2.4146156457028616e-11,-6.85332316985956e-10,-1.4545944630062873e-9,7.173468098137021e-10,1.447634982608381e-9,2.705065683734386e-10,-1.999588001097126e-8,-1.6750875683152734e-9,-9.538944111725122e-11,1.2598145483163339e-8,1.526768410164838e-7,2.4880490954857756e-9,1.6676019827365082e-7,-4.76621654172529e-10,1.2097560339137046e-9,-4.564636962971417e-10,4.661430948786881e-10,-2.7563071488733477e-8,6.82978044141524e-10,-5.331477036147574e-7,-2.2895047762222196e-9,3.63375229440771e-9,-4.796901149257676e-9,-1.988663607218412e-9,1.876554282271871e-9,5.0200499288558605e-9,-5.122280716163365e-12,1.0898935749313397e-12,-8.768406213308094e-10,-6.148700096490689e-10,1.8461704660581178e-8,-8.78114852280537e-9,-9.691631955144387e-7,-3.688399268940663e-6,-3.092387058171639e-8,1.872635205790279e-8,6.225330574333914e-8,-1.0377683236423393e-9,3.4712244248392205e-8,-5.319447576072623e-12,4.278732304854072e-8,1.977390832731153e-9,2.2007667201043004e-9,-2.0974191331474335e-5,-1.2214919285552585e-6,3.4538643454356474e-7,1.195670389864774e-12,-2.7734733759947437e-10,7.200968974288707e-9,0,0
1.0837366263715249e-10,8.078070404635607e-8,7.468346366871679e-14,3.496595054570467e-11,-2.4146156457028616e-11,1.9729477460770707e-8,-2.0565227254044738e-8,-1.2178795482711388e-7,6.654880108673326e-8,3.018885527082583e-7,1.4424034334244563e-9,-1.6107106496207055e-8,-4.4912235910506175e-7,-6.782489381487234e-10,2.333221364214327e-7,-1.1933866417559968e-6,-4.562777301895651e-8,-7.690673973039142e-6,9.301004239118304e-9,-1.6735957337108748e-8,4.456686083030383e-9,-3.158260804702439e-9,-2.524766183030687e-7,-3.5359026884424384e-8,3.5300554829213113e-6,5.759554498295253e-7,-2.1244546444154878e-7,-1.8300787665621055e-7,1.0644429276539426e-8,3.8400838927357607e-8,1.6197839365847107e-10,-5.052314550063306e-11,3.081922016128545e-11,8.827244072306443e-9,-1.710347277191654e-8,9.399120503233539e-8,-1.8121236276032474e-7,-1.813259675667268e-5,3.802714557417307e-6,1.3947505054639456e-7,-9.014255089737066e-8,1.0776460379268244e-6,3.534261347918489e-10,-2.78155094313392e-7,-2.644399688324346e-10,6.482592299106294e-8,4.246373981556094e-9,6.384727811533916e-9,3.978613458416842e-5,2.6605186693477956e-6,-1.5476118331630592e-6,-3.0745008088523927e-12,3.913213709848257e-9,-1.1170388190375783e-7,0,0
-2.633396110717336e-7,-2.7785876420442136e-5,9.382916576865638e-10,-5.014183251865092e-10,-6.85332316985956e-10,-2.0565227254044738e-8,9.541746629630385e-5,-3.7231667400855565e-6,-6.137155065821836e-6,-2.6183570730454094e-5,1.3833570925937092e-7,1.15439394912191e-6,1.735351028876199e-6,1.6726699258810208e-7,-4.369493728046907e-5,4.120235092267803e-5,1.0674352349257834e-7,7.86496922272832e-5,-3.1501796615789033e-7,1.7057027708110014e-6,1.9668931562989462e-7,-3.866521533571653e-7,1.7095425962840926e-5,3.957621502341233e-6,6.837621855235708e-5,-1.1254661399088966e-5,1.001776628167014e-6,8.92848321684747e-6,-3.7003887984949687e-7,-2.27801646342068e-6,1.6639447213247594e-6,-3.3519480309437356e-9,-1.3669485664675756e-9,1.7743647839326772e-6,1.842186252407255e-6,6.614288658588296e-6,-8.12359757342339e-6,0.00021321869158902015,0.0016524319454385128,-1.7321737312563683e-6,1.8714511093984144e-6,-5.761035623222054e-5,2.1981867559064058e-8,-1.044050004392081e-5,4.931104280039488e-8,9.689048627440704e-6,4.3834758917243467e-7,7.608138983103568e-7,0.0025454461996767606,0.0001534374294602764,-0.0005171179195376315,-1.9070269501004498e-10,1.280795683616453e-7,1.553402502972639e-5,0,0
-1.1320761629801619e-5,-0.00012734916104241534,-1.1764536629503148e-8,-7.77732961599899e-9,-1.4545944630062873e-9,-1.2178795482711388e-7,-3.7231667400855565e-6,0.000431403321507598,-7.57648570412211e-7,5.400725748637464e-5,1.3003566174281873e-7,-2.319972094844132e-6,7.120080992808801e-7,6.887103844307997e-8,-3.4326798420404595e-6,6.764312474782072e-5,1.2082032493734686e-5,0.0027036296989595213,3.7912640955709535e-7,3.932960542673257e-6,-3.879721169675489e-6,1.1079956935648424e-6,-7.100841196745723e-5,-2.0967172784032095e-5,-0.0005768638296772019,-7.70905779421726e-5,6.369031652170217e-5,-1.3385023526821214e-5,6.10470575529339e-6,2.5563430435497824e-6,6.271366406687235e-6,3.470951770679579e-9,6.435030940044305e-9,-2.5025561061960943e-6,1.779150000826553e-5,-6.204146777599436e-6,1.763111611592426e-5,0.00033454977892278235,-0.0017596551114848812,-7.611586731457457e-6,8.359502858723009e-6,3.911463353489576e-5,1.092997123730143e-6,-7.209181496934242e-5,-6.243889981579469e-8,1.3268547336739682e-5,4.693152630347763e-7,1.5926427832116819e-6,0.01921767314916418,0.0008928300141291665,-0.0006554900717080736,5.351920453846439e-13,3.9757578594755723e-7,1.9184863566727494e-5,0,0
-1.0478605611951144e-6,-0.0008138826567198717,1.6557884909470626e-8,3.1704743908605247e-9,7.173468098137021e-10,6.654880108673326e-8,-6.137155065821836e-6,-7.57648570412211e-7,0.0004446765671279349,4.19091515034219e-5,9.790440439961973e-8,-2.1500938513685883e-6,2.316387250718708e-6,1.328076364483612e-7,1.344182194753074e-5,0.00018966472475563932,-1.0628355428431984e-6,-0.0009548854309710252,-8.921840851391553e-7,7.38603291257995e-7,1.9852514003855416e-6,1.194703075660338e-6,-5.052746227357052e-5,-2.174629565066889e-6,-0.000584001289417398,4.8860318325383966e-5,-1.061031190303054e-5,8.588002662378544e-6,-1.826372678991433e-6,-1.205827700816858e-5,4.957668729820042e-6,-2.766940214683426e-9,-2.750164055066162e-9,3.7856927984028403e-6,-3.160384436740449e-6,1.947923789943856e-6,4.971957291640541e-6,0.0013001939668859158,0.004492379584964376,-7.95626647800333e-6,9.05288317102055e-6,-6.056900319998463e-5,-6.604882838275718e-7,-3.0820260079452156e-5,-1.0059235526218879e-7,-7.686007655679498e-6,-3.888185622199325e-7,-2.186378132846116e-6,0.018820743062123665,0.001101866169308006,0.0003905488557463609,2.2887325072408802e-10,-2.3555587779104764e-7,-1.3779844181027938e-5,0,0
-1.3520251162042713e-6,-0.0002069333800601755,5.7419397763474706e-8,-8.50531282809225e-9,1.447634982608381e-9,3.018885527082583e-7,-2.6183570730454094e-5,5.400725748637464e-5,4.19091515034219e-5,0.006826702513425397,3.7185669429441253e-7,1.108885350799997e-5,-3.151714916958353e-5,2.911416541722612e-7,0.00016399621909827684,-1.4138581540758046e-5,3.1117765021288995e-6,-0.00029201018082176836,3.6443546711429626e-7,-2.513961495512577e-6,8.605693410883516e-6,-2.2563873177617445e-6,0.0002663232463318988,6.455366789608756e-5,-0.0031051094054910123,4.13424873279724e-5,-9.81716509786862e-6,5.494893096433917e-6,-6.112157536746029e-6,2.1068472348509443e-5,-6.903933340191822e-6,-1.5110304195805488e-8,-1.7626064002606713e-8,1.7524696770759752e-5,1.6305014818506493e-5,1.3037011788370865e-5,2.6455096591542094e-5,0.004882041370458571,0.010320250319328728,4.977376577790923e-5,-3.1467479884631905e-5,-0.00014846976903884154,-2.113494073043346e-6,-0.00014150510229868544,2.129448209566669e-9,-4.643463008069752e-6,-6.821906182741089e-8,-3.0232770294777633e-6,0.033632326260382754,0.0019483011741010584,0.0024412880565705597,1.2262838207219505e-9,-2.219876095551265e-7,8.738337729355259e-5,0,0
