"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47"
3.244590801311553e-6,7.0899435593675986e-6,-1.1406464575855433e-9,-5.690548328326925e-10,-3.161353874546535e-10,-2.0735247349197475e-9,-1.2463573425599351e-5,5.199132341560511e-7,1.7653575666746578e-6,-7.856726275663657e-9,9.714789965840234e-8,1.9359356293065657e-7,-9.580970585141934e-8,2.2964672380333925e-5,5.985962561324922e-8,-4.999346150002197e-8,2.3796957556364473e-8,-1.29721447915152e-7,-4.393052523177392e-6,-2.7984525711717495e-7,-5.09942328897835e-8,-1.4318812916241588e-7,3.259248954564619e-7,-4.970389152691891e-8,1.69844227991168e-10,2.270989854707179e-10,-4.157129975207022e-7,7.574031371114481e-7,1.4810026186016048e-6,-7.568387520816137e-8,-4.015633922767323e-5,0.00016144935038214908,-3.416280156653337e-7,1.0364633715050563e-6,-5.497387101172977e-7,3.273325262722169e-9,-3.966717418800867e-6,1.820157176663659e-9,4.568498033947586e-7,3.221655011616077e-8,-6.882703638331531e-8,-0.00234532255945029,-0.00013134999136825564,1.6725366602826418e-5,-7.947923212156786e-12,4.6506056362090754e-8,2.1467572911572865e-6
7.0899435593675986e-6,0.034064286872136744,-1.0408263244990106e-7,-5.536362463594577e-8,-4.9262201805355435e-8,6.036259458795944e-8,-8.667459629451186e-5,-0.0009719378924594199,1.843069204441343e-5,4.90014971230909e-7,-5.545602278657905e-6,2.270825723254277e-5,-5.865867292350944e-5,-0.019374657626122522,2.0677423751583077e-5,9.774503272525118e-6,1.60119617261641e-5,-2.6540739643605787e-6,0.0036618136871109717,-0.00026173442217773896,0.0004113516822729201,-6.995947443435968e-5,7.383359088625258e-5,-5.654171427886925e-5,-4.7319673325798426e-8,1.8126110978105319e-9,-2.992048200080235e-5,-7.271976801132249e-5,0.00014419547115233162,-9.887250904753567e-7,-0.007452867341287235,-0.050599659740476595,-1.9692871737429293e-5,-1.746375623982167e-5,-0.0005072558696380422,-7.131420946927431e-6,-0.0006050407850344295,-1.1871548225398717e-7,-0.00015935677992612825,-8.794469477362143e-6,-8.81957969766595e-7,0.21171328957911062,0.01267479447251507,0.001336322115034726,1.0326269852307783e-10,-1.3784863029727175e-6,-0.00040867907467920277
-1.1406464575855433e-9,-1.0408263244990106e-7,6.304807646921957e-10,-4.631102372301368e-12,3.2756756347488776e-12,-1.5211068183662337e-10,6.65910022566878e-9,1.2774968927003432e-8,1.619267744111298e-9,6.34907853980628e-10,3.182771386517392e-9,9.554531581277546e-9,2.4746322514213805e-9,-2.5901789702420407e-7,5.084218843466366e-10,-2.5377528839534447e-9,-1.3809661625740888e-9,-1.0564592584226198e-9,1.8967340706311664e-8,8.672730184444329e-10,1.2227479234537452e-8,-1.1674611824615806e-9,1.5719451848325587e-8,-1.7254171078764725e-8,-2.9316869425932966e-12,-9.402652090649847e-12,-1.153004250721061e-9,-1.7236570002624068e-9,3.5465472823139907e-8,7.915163445173417e-10,2.0588433255989743e-8,-1.3534734988831644e-5,-4.5341519998127006e-9,7.484073506466759e-9,1.0468320746684617e-7,-1.3138832245018297e-9,1.5222188333012743e-8,5.382094973194183e-11,1.4156150313402635e-8,1.0395850639423052e-9,-4.504138128100668e-9,-1.721244030180434e-5,-1.0012073787045846e-6,6.791331792660488e-7,3.175001576584673e-13,-2.67055161158701e-10,-2.0991408122766752e-8
-5.690548328326925e-10,-5.536362463594577e-8,-4.631102372301368e-12,2.559738600971385e-10,-5.1852536004739975e-12,-4.509211895632279e-11,-6.31474857076002e-9,7.116171142854996e-9,-5.339474596912945e-8,-7.204805015171697e-10,2.0015868945388504e-9,5.84917626276074e-10,-4.4641437629859264e-9,-5.049472654883815e-7,9.462538146511684e-11,-3.984536406118839e-10,2.903773779313442e-10,-2.487145806869376e-9,4.902634905923104e-9,-1.219748911498933e-8,-1.0137116404007101e-9,-1.4385329211066576e-9,-1.6923427173471616e-8,-2.833084461679922e-9,1.056654641683515e-11,-1.370215352860523e-12,-1.7163015072036011e-10,-6.989558274278592e-9,2.783197708682023e-9,-4.246782782618424e-9,-2.7556581855997035e-7,-3.0262237868230353e-6,6.9716777348212814e-9,-4.0761174459458065e-9,3.532318164843045e-8,7.957044812467915e-10,-3.1837203102408875e-8,-2.0349887243417598e-11,6.030551305402708e-9,3.269125808867139e-10,-1.3816495115159267e-9,2.0902007681654254e-5,1.2327279873439823e-6,2.6161276839887423e-7,1.6348603925024504e-13,1.0829050309066916e-10,-2.2133885699073783e-8
-3.161353874546535e-10,-4.9262201805355435e-8,3.2756756347488776e-12,-5.1852536004739975e-12,2.172344521387538e-10,-3.840557930635671e-11,-3.386997914549839e-10,5.111776204372335e-9,2.2306121944575e-8,8.321721714932597e-11,-2.54101020390258e-8,1.8194873470585624e-9,1.3126141425828538e-9,2.5486162920694765e-7,-7.14234241736316e-10,-8.36200259127027e-9,1.7187759645928431e-9,1.2251043083674017e-9,-1.2869670934567643e-8,6.380451678702222e-10,-1.4421368639923329e-8,-2.124003605442917e-9,3.4707373089254144e-9,-2.019917149876558e-9,1.272852952978735e-13,9.211463014016307e-13,-1.1380265489388577e-9,6.650427458786146e-9,2.749860668223778e-8,-4.673139966244507e-9,-1.4603111129737085e-6,-5.641222064255407e-6,-2.0087064675732803e-8,1.2805452464962111e-8,-2.2442960144969274e-8,-1.0348728507045232e-9,1.7675634274329422e-8,-3.4970735793813324e-11,2.933333569820859e-8,1.2690654021891157e-9,3.962951277638811e-9,-3.2261297745438387e-5,-1.8717890486639958e-6,-4.537427484138255e-8,8.117533198428878e-13,-4.017660459537825e-11,7.100119667125126e-9
-2.0735247349197475e-9,6.036259458795944e-8,-1.5211068183662337e-10,-4.509211895632279e-11,-3.840557930635671e-11,2.1697809030801988e-8,-7.866802260748803e-8,6.728221257657487e-8,-3.5440590817905365e-8,1.5695286084600336e-9,3.129514745744122e-8,-5.510967983987101e-7,-3.6422828439459645e-8,-5.427805387217908e-6,-6.622916556040028e-9,4.137206397575074e-8,5.168594479917622e-10,-2.0912078647065314e-9,-1.0910640994683716e-7,-1.729989523749521e-7,-1.6665528779092672e-7,5.185991870443185e-9,2.1667779358200643e-8,5.8027332403005985e-9,-8.592776955269968e-11,-2.0196024737560417e-12,1.8949783632022843e-8,-9.227831483680737e-8,7.825281462890275e-8,-1.200805400218625e-7,2.7835579522442223e-6,3.592233142748773e-5,1.3553179768375333e-8,-5.112299761415414e-8,3.7815849190419097e-7,1.1113864973115432e-8,3.9672939484677964e-7,6.114793194706505e-10,2.409039843949086e-7,1.2043062231771606e-8,9.299405680783006e-9,1.8054272630678497e-5,1.5162541449489087e-6,-6.592984505736135e-6,-1.650490813356413e-12,-6.991651115194457e-10,-1.7742998898347405e-7
-1.2463573425599351e-5,-8.667459629451186e-5,6.65910022566878e-9,-6.31474857076002e-9,-3.386997914549839e-10,-7.866802260748803e-8,0.0004827304113648358,-9.415221136639974e-6,1.175449002823858e-5,1.743745200020632e-8,6.036741298250818e-6,-3.4696606916827837e-7,2.1619548912347512e-5,0.004085953035221315,1.5776597778223477e-6,-4.222990517942038e-6,-4.146268723942522e-6,1.0104545314783644e-7,-0.00021175835855866782,8.230552766688694e-5,-1.3877972908572842e-5,8.560117264275756e-6,-3.880841843124399e-6,-1.197731174807055e-5,2.429646795054469e-10,1.935204374321156e-9,8.983542730958794e-6,1.1569041963858446e-5,-2.4331944646702774e-5,2.4586239431917e-5,0.0022113477420456955,-0.003883394482173506,5.003736094991093e-6,-4.326303074719984e-7,2.858848846268939e-5,6.80215990775909e-7,8.556566188122157e-8,-8.178164366500502e-8,5.036353742294782e-6,-9.026962358923845e-8,2.126417675581122e-6,0.019300868140967837,0.0008765204924211,0.0003691855785581366,6.299945902757751e-10,-1.0991422771026486e-7,-3.000677855528243e-5
5.199132341560511e-7,-0.0009719378924594199,1.2774968927003432e-8,7.116171142854996e-9,5.111776204372335e-9,6.728221257657487e-8,-9.415221136639974e-6,0.0005525509997524428,-1.5043826328956793e-5,-2.1059248380572743e-7,1.0106905976976411e-6,5.063728948896805e-6,-5.799777557271985e-6,-0.001321669744409523,4.710063658000352e-7,-3.072083295261083e-6,8.681459588111987e-7,1.2288439648961105e-6,7.60535083369155e-5,-1.4414671257907345e-5,6.736973592572103e-6,-1.707188850109379e-6,-6.55046452148527e-6,4.899982744053164e-6,7.936123587473627e-9,-3.386762106089058e-9,-7.950281241078181e-8,4.523120151314109e-6,-1.5481225129104052e-5,-7.898830468760356e-6,-0.0009288577397234977,0.01681194363187516,8.067465257115375e-6,-4.238875148938654e-7,2.3363070600497165e-5,1.4171515726930418e-6,0.0001694581463655286,7.898776522804426e-8,1.2777124903788524e-5,4.3220393839122404e-7,3.1333809544249646e-6,-0.010086200486831403,-0.0005730062478482354,0.001593441151878524,9.289499879601993e-10,-1.3697137631698133e-7,1.3198694745315337e-5
1.7653575666746578e-6,1.843069204441343e-5,1.619267744111298e-9,-5.339474596912945e-8,2.2306121944575e-8,-3.5440590817905365e-8,1.175449002823858e-5,-1.5043826328956793e-5,0.008608244815874301,3.3718210346260944e-7,-5.654415382454227e-7,2.688781721434031e-5,4.1172473519892665e-7,-0.0006115857597914622,3.2674478992484446e-6,-1.3583362618727399e-5,6.068000142352309e-6,-2.8871021704470787e-6,0.00017378574215997308,-2.534814122062515e-5,-5.587962168070669e-5,-2.520240244938787e-6,-1.223062209734643e-5,-1.9762880053097757e-5,-9.081426778363151e-9,-8.018133038884467e-9,-1.506016679296188e-6,1.7527869998555385e-5,-7.921109464319527e-6,2.6808408930715897e-5,-0.001742485501521128,-0.008197920318113127,4.882463373432309e-6,-8.336357094487394e-6,-0.0001826392416785814,1.3233886174365786e-6,9.084877978080527e-5,-1.9619434584250812e-7,1.1345642841611166e-5,8.342444306094376e-7,-1.2026601368890102e-6,-0.004861243449971201,-0.00033447383750091644,0.0015469241433447073,9.346083427963333e-10,-1.1294192966859114e-7,0.000268118665840011
-7.856726275663657e-9,4.90014971230909e-7,6.34907853980628e-10,-7.204805015171697e-10,8.321721714932597e-11,1.5695286084600336e-9,1.743745200020632e-8,-2.1059248380572743e-7,3.3718210346260944e-7,3.507448070219826e-7,-5.5557665745367344e-8,1.1506420517365796e-7,3.384141836677112e-8,1.7174798393105306e-5,-1.7691234523780633e-9,3.672817275247094e-8,-8.782269037224304e-9,1.6843976089863059e-9,-2.077698051609459e-6,2.501377886402107e-7,4.15652450889471e-7,2.1875274870862148e-8,-5.402005477789692e-7,8.175740363777333e-8,6.238239030654604e-10,-2.2941319940199487e-10,-4.7267543766805434e-8,1.3162219498332918e-8,-1.8201796495415197e-7,6.358860140011847e-8,1.899403334269335e-5,-6.508043966127965e-6,3.438299246488417e-7,-1.6124383462845275e-7,-3.0134331378807835e-6,3.325610517853816e-8,-9.966952417992975e-7,-1.3132465511714607e-11,2.357089020253372e-7,1.2754903346238954e-8,4.030540041594575e-8,-9.23336608241443e-5,-4.7284198911731485e-6,-4.6337873625321004e-5,-3.112516801804766e-11,8.377665247075351e-9,7.866684713433976e-7
