"parameter_names","parameter_values"
sd_temp,0.0811394617522578
sd_ocean_heat,2.6698289949428107
sd_glaciers,0.00016658937556823322
sd_greenland,0.0005282085546717338
sd_antarctic,0.0003166119949333407
sd_gmsl,0.0016261527425575806
rho_temperature,0.5234728904027139
rho_ocean_heat,0.6867168293235155
rho_glaciers,0.9680693674511471
rho_greenland,0.9898023010880853
rho_antarctic,0.8535297577850733
rho_gmsl,0.3559647731748848
temperature_0,-0.0011524904050264195
ocean_heat_0,-32.629465518785764
thermal_s0,-0.009013727866607403
greenland_v0,7.343652705071757
glaciers_sl0,-0.04455640553773063
antarctic_s0,-0.038402569032087976
heat_diffusivity,2.681496330953047
rf_scale_aerosol,0.5939386169123266
climate_sensitivity,1.9549958995001415
thermal_alpha,0.15817286747524534
greenland_a,-0.8779144987686602
greenland_b,6.562425552090546
greenland_alpha,0.0001135919513928989
greenland_beta,0.0003807074469915844
glaciers_a,0.32888342915033963
glaciers_b,0.8227389334823046
glaciers_T_lia,-0.9791011113224362
glaciers_f,0.5745955289282505
glaciers_tau_fast,50.77937923186409
glaciers_tau_slow,539.1617987659663
anto_alpha,0.9001928907617108
anto_beta,0.9220227398148035
antarctic_gamma,3.469163700623215
antarctic_alpha,0.08559421230267597
antarctic_mu,10.997228193251853
antarctic_nu,0.01063697642606014
antarctic_precip0,-0.38292138890805427
antarctic_kappa,0.0480127852236301
antarctic_flow0,1.16859475908037
antarctic_runoff_height0,1756.4379072873528
antarctic_c,84.1339158606193
antarctic_bed_height0,817.8982833368324
antarctic_slope,0.000655709864948479
antarctic_lambda,0.00534122804027809
antarctic_temp_threshold,-16.042857411244192
