"parameter_names","parameter_values"
sd_temp,0.07631361063214714
sd_ocean_heat,1.4770050599943902
sd_glaciers,0.0004207920896980788
sd_greenland,0.000513256778796983
sd_antarctic,0.00044996562920874254
sd_gmsl,0.0014331375587827114
rho_temperature,0.5794897865748044
rho_ocean_heat,0.31459561174911915
rho_glaciers,0.14749529676329942
rho_greenland,0.9875283172577747
rho_antarctic,0.9182105341294368
rho_gmsl,0.6867643059042492
temperature_0,0.028299552455279306
ocean_heat_0,-27.125336127909012
thermal_s0,0.046543931852737405
greenland_v0,7.229153433531537
glaciers_sl0,0.01935348180232235
antarctic_s0,0.03499149747952099
heat_diffusivity,2.393133840854069
rf_scale_aerosol,0.8353801718225939
climate_sensitivity,2.858079564181796
thermal_alpha,0.14111539723932956
greenland_a,-0.3804193431963884
greenland_b,6.7483326701416155
greenland_alpha,0.0001999614258200937
greenland_beta,0.0007569341323762832
glaciers_a,0.38985010557652594
glaciers_b,0.7111207412996192
glaciers_T_lia,-0.8637932361499598
glaciers_f,0.29178248449034455
glaciers_tau_fast,33.529871273565924
glaciers_tau_slow,315.3271202857968
anto_alpha,0.8886940241927559
anto_beta,1.6829454346291925
antarctic_gamma,4.014333138825719
antarctic_alpha,0.06895834396281085
antarctic_mu,11.168043430280374
antarctic_nu,0.006878531365233555
antarctic_precip0,-0.8573015458576497
antarctic_kappa,0.04704760674873185
antarctic_flow0,0.8636419179464722
antarctic_runoff_height0,1634.4152867104876
antarctic_c,96.84163698993851
antarctic_bed_height0,805.145355179597
antarctic_slope,0.0006534206890347011
antarctic_lambda,0.01119834319322603
antarctic_temp_threshold,-16.180001193674503
