x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
3.8103189348520724e-6,-5.186225268389701e-6,4.2283346525727923e-10,9.552771944048208e-11,-6.442938325572225e-10,-2.551322473870482e-9,-1.4533648761150561e-5,2.5827483833892024e-8,9.305550434147337e-7,3.396035286412104e-8,3.0700499049936846e-7,-3.6548974540035335e-7,4.294553595741816e-7,8.227669589918703e-5,4.0373063498212316e-8,-4.45678474884478e-7,-1.1108022417191831e-7,-2.419153826293676e-7,-6.839720152772304e-6,1.42936260646892e-6,-2.0929483734831497e-7,1.1517076609937028e-7,6.454640921546834e-7,-1.2110023423456713e-6,5.203907875555646e-10,-2.347691541880455e-10,3.907504950145364e-8,5.249981701943939e-7,5.386434167812937e-7,2.451022519474591e-7,0.00013868274918603287,0.0001922959021926444,3.0674634587937864e-7,2.968636797568126e-7,2.0745220656382703e-6,-1.0531580318561662e-7,6.615108283937025e-6,7.379073002205052e-10,1.5417623166303487e-6,6.328407681061586e-8,1.919360225267375e-8,0.0005886544806901815,3.174985677783686e-5,-8.201846245772019e-5,-1.265316728030568e-12,5.353259841623897e-9,4.440260935513449e-6,0,0
-5.186225268389701e-6,0.037245816897211674,-7.619432084051427e-8,-3.826208983764869e-9,-5.4422203831187235e-8,1.4701631580984751e-7,-0.0001234954172860332,-0.0011551819641598623,-7.789411998711322e-5,2.191732055109619e-6,-1.3977383787958677e-5,2.8139517698210543e-5,-9.437021044521553e-5,-0.02448741954781525,1.6049876635284778e-5,1.1577537989665593e-5,1.5423348682518603e-5,2.9219768189461075e-6,0.00395885970257165,-0.00033781754231228,0.000380011184973815,-8.449656578758993e-5,2.1449450939393306e-5,8.741553302461109e-5,-1.317813958731645e-9,3.814274691451517e-8,-6.95999227607514e-5,-0.00011494732473180915,0.00025772966349121336,7.457939578683385e-5,-0.003976105689954074,-0.04865379429244814,0.0001511614923261215,-9.028707652053716e-5,0.0012369033619990043,-1.0534930854590494e-5,5.8181024006995e-5,1.0093848959054831e-7,0.00016757447094753575,1.121374753214817e-5,-1.808014323905231e-5,0.18316092141190463,0.011038986654862812,0.008728033130915878,2.889328087692796e-9,-2.275638000869239e-6,-0.00028812201783475145,0,0
4.2283346525727923e-10,-7.619432084051427e-8,6.780750052125747e-10,-1.9030462032036704e-12,-9.812858261628101e-12,-8.77981685135741e-11,-2.3678818892277726e-8,1.3269245341681912e-8,6.846187943061583e-8,4.357515689672561e-10,1.2835621680007328e-8,-6.373878237756887e-10,2.529720162839834e-10,4.999995591196093e-7,2.3117067078112666e-10,4.781006209754379e-9,1.657270025897227e-9,1.698465249162407e-10,-7.997615062521118e-8,4.029147099585522e-9,-2.4804165548947058e-9,2.2596181411684527e-9,8.890093288632463e-9,-2.6464592514307695e-9,-1.978146852568211e-11,9.52493399780326e-12,-7.5100294841368e-9,3.0081826026719194e-9,2.265820522467549e-8,3.0927425213516336e-8,9.825220931369835e-9,-6.511512934472182e-6,4.865008956283727e-9,-3.4010165669698845e-9,6.704952913834021e-8,-7.368357769838277e-10,-9.228999943813639e-9,7.203664231894594e-14,1.3827143591427313e-8,1.1711180496536866e-9,3.304107249830585e-10,1.580177335205794e-5,9.289023006015988e-7,-1.7671982930056197e-6,-1.5433286394541929e-12,-2.8939239713817383e-10,1.7662109270336886e-9,0,0
9.552771944048208e-11,-3.826208983764869e-9,-1.9030462032036704e-12,2.948530639061231e-10,-3.534950985108989e-12,-1.1152850751959661e-11,-2.7931622562186837e-9,4.786817038591955e-11,-1.0260926819206563e-8,-7.32839013086689e-10,8.994600664887903e-10,-2.303260405574562e-9,-1.5670483519349138e-9,-1.5532756864396206e-7,-1.3459809983842476e-10,-2.748919961912636e-10,3.896017156652199e-10,3.9369899722168885e-11,-2.9847136157472616e-8,-4.920631870106052e-9,-8.610902683112399e-10,-1.6961310653770747e-9,-1.761921609953846e-8,-2.5000833569034833e-9,8.324989753111782e-12,5.184019932285812e-12,-1.0095605144901303e-10,-4.753516477586511e-9,-6.149245479059817e-9,-1.0334220052211245e-9,-7.264254041269842e-7,-2.615206845358301e-6,3.1432085648516692e-9,-6.635825474403055e-10,3.8750458213366e-8,6.240658956216945e-11,-4.383271670491663e-8,-2.927055344833506e-11,-4.520528977917122e-9,-6.201685850859551e-11,-1.0646705240467053e-9,7.138174021532574e-6,4.2956403681179306e-7,6.771651366531713e-8,-2.8724115308144807e-13,6.114503289414491e-12,2.9131787209866335e-9,0,0
-6.442938325572225e-10,-5.4422203831187235e-8,-9.812858261628101e-12,-3.534950985108989e-12,2.3657764765783484e-10,-5.0261998443736716e-11,2.927133224458377e-9,4.894076977138967e-9,4.235212900360817e-8,1.7283686937026713e-10,-2.9868855548137617e-8,-3.6378207453606736e-9,-2.428192115715913e-9,2.0464845880043322e-8,3.743147482804153e-10,2.5396618384837463e-9,7.061857949116414e-10,1.1453956993260356e-9,-2.9136124458025413e-8,-4.842336129751657e-9,-1.583122320658569e-8,-2.851298782064137e-9,6.355797771516012e-9,1.1804261226538932e-8,-5.593362577735268e-12,1.9478626312975336e-12,9.583917313606653e-10,-1.5237994400001028e-9,2.0056158702186497e-8,-1.2047867196664884e-8,-5.596217033627978e-7,-9.019594247289976e-6,-3.707012016848365e-8,2.443446809523084e-8,3.1391924268897104e-8,-2.626169442869399e-9,1.3263052830324558e-8,2.058225146459523e-11,3.204803303922412e-8,1.4456486297047356e-9,2.362880510738967e-9,-2.790204327449811e-5,-1.6200658529031887e-6,1.3643947006905133e-8,8.958798806018716e-13,2.5299792557168e-10,-1.6261238060914177e-10,0,0
-2.551322473870482e-9,1.4701631580984751e-7,-8.77981685135741e-11,-1.1152850751959661e-11,-5.0261998443736716e-11,2.2830754667695547e-8,-3.7460065568095485e-8,8.688962676972904e-8,-3.615395979831059e-8,3.1855685472227235e-9,1.2861180630335206e-8,-5.409914838497456e-7,-4.796380425676255e-8,-5.8061368733785945e-6,-2.3041853693495658e-10,3.2624846912830824e-8,1.168985811354512e-8,1.0386674297878048e-9,3.951013147515412e-7,-1.219254501033103e-7,-9.812298058298375e-8,-4.870686182950534e-9,5.30831154415279e-8,4.566591947872706e-8,-7.354150591250718e-11,3.1309704267725397e-11,-1.7585946831226595e-9,-1.4729761254297303e-9,2.517439649089105e-7,-3.9298367422399416e-8,2.0829746031720613e-6,-2.3595899369952776e-5,-1.904365220012944e-8,-5.5405342365746956e-8,5.113318579690052e-7,6.989965349061049e-10,8.143100640142141e-7,2.238125500636643e-10,5.913404114646071e-9,3.04956289130822e-10,1.6852387987292476e-8,-4.8835644468271314e-5,-2.6881267904064667e-6,2.1471692302859655e-6,9.660072849545095e-13,-6.292986994607208e-10,-9.013033731467394e-8,0,0
-1.4533648761150561e-5,-0.0001234954172860332,-2.3678818892277726e-8,-2.7931622562186837e-9,2.927133224458377e-9,-3.7460065568095485e-8,0.0005292861076552576,-3.2960100065649044e-6,2.534421014905779e-5,-1.345770345322316e-7,2.9711081464567764e-6,-2.1293646894175453e-6,2.2413897620574742e-5,0.004359174216647654,4.780336578004597e-7,-1.3687697670586556e-6,-4.671185215524707e-6,-1.9311152552765283e-7,-0.00024224329129002748,8.186929968020071e-5,-3.5403481158772296e-5,9.913190041482559e-6,-1.0812282394785117e-5,2.07846315287223e-6,1.955159736530169e-9,8.381845803814063e-9,6.5158101847148704e-6,1.4079663415822806e-5,-2.324821005293021e-5,1.0737626010858093e-5,0.0012377309541263982,-0.008698890495000354,1.8227846725828608e-6,7.818229125115334e-7,-6.128495762702514e-5,-6.928490898646317e-7,3.9015325506283804e-5,-2.1278157320234796e-8,2.6947054448251783e-5,1.2447069843301487e-6,3.947915078505642e-6,-0.0076722949081933795,-0.0007048421006209938,-0.0013653612880503642,-3.5875351913395497e-10,1.638481318600438e-7,-3.713851690548244e-5,0,0
2.5827483833892024e-8,-0.0011551819641598623,1.3269245341681912e-8,4.786817038591955e-11,4.894076977138967e-9,8.688962676972904e-8,-3.2960100065649044e-6,0.0005952657387884286,3.4237830257597676e-5,-2.561753674060866e-7,-5.285239823845657e-6,7.993692043854783e-6,-4.473281624306555e-6,-0.001900811259212675,-1.7683183193481351e-6,-4.364081853857908e-6,-1.1937240308493183e-6,-5.51015951689479e-7,0.00019362723239027053,-9.117560903281667e-6,3.467241278204012e-5,-4.105574852381959e-6,-8.063120624629186e-6,-4.247838946140979e-6,5.422035507888343e-9,-6.6733199173672135e-9,2.497251487066485e-6,-1.8903657884441656e-6,-1.1374749216823546e-6,-2.4733384789813975e-6,-0.0023513352857638483,0.007238177516225726,-5.703204668739925e-6,1.210826115853478e-5,-7.938694831291264e-5,-4.3549823404893e-7,-1.3787677226728886e-5,-5.286985808133315e-8,-6.103145438989175e-6,-6.845657896852407e-7,2.754133786251502e-6,-0.02566818296318079,-0.0014903760684108717,-0.001230537495171278,-5.895144520938859e-10,-2.3383420002628217e-8,4.9476432731039395e-5,0,0
9.305550434147337e-7,-7.789411998711322e-5,6.846187943061583e-8,-1.0260926819206563e-8,4.235212900360817e-8,-3.615395979831059e-8,2.534421014905779e-5,3.4237830257597676e-5,0.009219711207063571,2.15725133293403e-7,-2.6771540986444937e-5,1.0212974375221617e-5,-4.346600923749845e-6,-0.002197778679824385,-4.858463550805996e-7,-3.567224933832939e-6,5.498237539995557e-6,-1.8148531856615258e-6,0.00015888580571151443,-6.193251492674113e-5,-0.00012146025278889197,-6.680769185117715e-6,-2.0334871015037205e-5,1.0713482931234506e-5,2.5911434315869223e-8,-2.9675045214057875e-8,1.718117526204007e-5,2.0726835180807936e-5,3.572126109433132e-5,-1.5932433903024377e-5,-0.0011041551059538242,-0.013648294165739566,2.431061360844916e-5,-1.0831523447364994e-5,0.0001891333201647689,1.1923248592237752e-6,-0.00037061765829464883,-1.2120141814835937e-8,-3.0447133166901197e-5,-1.8341234880463416e-6,1.0818024898278238e-5,0.03260599442923874,0.001974410178617145,0.005120181937288076,1.598546283387059e-9,1.3730341977819887e-7,0.00012924124925144288,0,0
3.396035286412104e-8,2.191732055109619e-6,4.357515689672561e-10,-7.32839013086689e-10,1.7283686937026713e-10,3.1855685472227235e-9,-1.345770345322316e-7,-2.561753674060866e-7,2.15725133293403e-7,3.6887423282338447e-7,1.863515346121805e-8,8.121869544855248e-9,-2.2290648216298364e-8,1.6791153462147665e-5,-1.2379960741823431e-8,5.620830497251341e-9,-4.5445409198059804e-8,1.9045197842372148e-8,-1.840367268209337e-6,1.740486469201589e-7,4.2647320809630044e-8,-1.7586097264083056e-8,-6.115221650649909e-7,6.115116188967178e-8,5.461601681225481e-10,-2.3822802099327593e-10,-5.629787317417293e-8,7.236173814538894e-8,8.414021426411954e-8,-3.787295205133002e-7,-4.040908134856394e-5,-0.00011223233633151238,1.4071361172591985e-7,-2.8640008674039655e-7,-1.6158290617326896e-6,-4.423473775675113e-8,1.6578783337678666e-6,3.8955487261516226e-10,5.810804861219981e-7,3.245441083068472e-8,3.816390684128789e-8,-0.0006875555070199491,-3.9518102733664596e-5,-1.944949913795015e-5,-6.2005172642353235e-12,1.1669408642926672e-8,1.1088988235714918e-6,0,0
