"parameter_names","parameter_values"
sd_glaciers,0.00011997574606869765
sd_greenland,0.00037027826611349125
sd_antarctic,0.000612475221146101
sd_gmsl,0.0015681206865574369
rho_glaciers,-0.6885043253400535
rho_greenland,0.9899237625317614
rho_antarctic,0.9895013824490704
rho_gmsl,0.7106739070387426
thermal_s0,-0.0006179580636984311
greenland_v0,7.38947012416201
glaciers_v0,0.41156679115198236
glaciers_s0,-0.02182178632645789
antarctic_s0,-0.011574672335515917
thermal_alpha,0.06727123978017052
greenland_a,-0.17956026732774474
greenland_b,6.931918093067756
greenland_alpha,0.00058976785232858
greenland_beta,0.00022248946411373036
glaciers_beta0,0.0011202656099438546
glaciers_n,0.9769070075281965
anto_alpha,0.04220344200478591
anto_beta,1.446285358462898
antarctic_gamma,3.936841578917663
antarctic_alpha,0.419721350240568
antarctic_mu,12.580413154059507
antarctic_nu,0.006573389833657621
antarctic_precip0,0.9647887862428489
antarctic_kappa,0.06840499342511164
antarctic_flow0,1.628486145019902
antarctic_runoff_height0,1119.4453943893402
antarctic_c,111.32849050767652
antarctic_bed_height0,766.005592873158
antarctic_slope,0.0006061330418672909
antarctic_lambda,0.011059725570857704
antarctic_temp_threshold,-16.09948462444457
