"parameter_names","parameter_values"
sd_glaciers,0.00045989260796560776
sd_greenland,0.0002841498655051931
sd_antarctic,0.0008135840719276949
sd_gmsl,0.0013229127257974591
rho_glaciers,-0.36298785213432794
rho_greenland,0.9830723465620264
rho_antarctic,0.9827479092613609
rho_gmsl,0.829892125810361
thermal_s0,-0.015074257518885704
greenland_v0,7.488126586109581
glaciers_v0,0.4312432816896305
glaciers_s0,0.03942615528015003
antarctic_s0,0.006809316232211762
thermal_alpha,0.06506805693608236
greenland_a,-0.5465273638438495
greenland_b,7.417589312240733
greenland_alpha,0.0009251454345484188
greenland_beta,0.00011371037766037177
glaciers_beta0,0.0009672089606318188
glaciers_n,0.6988430568918753
anto_alpha,0.09523548107369949
anto_beta,1.117879995382089
antarctic_gamma,1.9896119038829854
antarctic_alpha,0.4295693649135654
antarctic_mu,7.922195839114872
antarctic_nu,0.00585337348181473
antarctic_precip0,1.0180676080369264
antarctic_kappa,0.05849232763210432
antarctic_flow0,1.7006337482354357
antarctic_runoff_height0,1627.8825747652445
antarctic_c,129.56803604926972
antarctic_bed_height0,747.9074594557287
antarctic_slope,0.0006195393672215682
antarctic_lambda,0.010786408896002398
antarctic_temp_threshold,-15.26945560262424
