"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35"
1.0767030563194191e-9,-8.062467727401198e-12,-7.551192656800482e-12,-1.1381052026275677e-10,1.1283620227469655e-7,5.997870014767043e-9,4.968989573193332e-9,2.5852561616977825e-9,-7.613747212974164e-10,-4.800866951317811e-9,1.6902168317233658e-9,-4.423401084931527e-10,2.8496992094209113e-9,7.691325889708319e-10,-4.6229153250594104e-8,2.1462263680655607e-8,1.1155954401017738e-11,-1.3141665573101248e-11,5.784661022664524e-12,7.096910049446208e-10,-1.736117484825198e-8,1.696904855099426e-8,2.5871467379622e-7,-2.7284946840735888e-9,1.0845788396668517e-8,5.681360190475987e-11,2.2311384232415457e-9,-4.0766589569918616e-10,1.2542247446548442e-9,4.268330891831934e-5,8.183591639304393e-7,-1.8039425405135295e-6,-2.3988536115726222e-14,-8.400481712666548e-10,-5.5206564459458675e-8
-8.062467727401198e-12,6.756351419658726e-11,-2.8730386728607975e-12,-3.1320439262993846e-11,1.4987026650026972e-9,-3.044534969313373e-9,1.7088746580345562e-9,-1.2088937296124476e-11,-8.260524283270481e-11,6.781688105716864e-10,2.5916868962114456e-10,1.6387734243609327e-10,2.802622955963812e-10,-7.251843453711225e-10,6.387884052674038e-8,-4.381600095934611e-8,-4.017369431902179e-12,1.239599310577637e-12,-1.6335719919705584e-12,-2.0414785338264367e-9,2.7981435140076107e-11,1.4947806260012466e-9,6.521508299257923e-8,1.1491820381679555e-10,3.226852533026152e-9,-3.8717104513909135e-11,-4.3435280135428643e-10,-3.3948509533231224e-11,9.70366757580137e-11,7.595635565811468e-6,4.828547359949419e-7,-6.489314151051181e-7,-3.5476121144632305e-13,-1.8809568899204111e-10,2.750555224369025e-9
-7.551192656800482e-12,-2.8730386728607975e-12,5.671306335752655e-10,-2.5207006669801586e-10,-1.1741958857148867e-8,3.608216018171657e-9,-1.1060486027916661e-8,8.462829529651942e-10,-1.5901969652384898e-9,-9.882619093258872e-10,1.238061359924501e-9,2.8880573709946803e-9,1.6212794337244618e-10,-3.229284547875684e-8,-1.1866697981956095e-7,8.097285587821882e-8,3.981680013761773e-12,2.2724845039144326e-13,-1.150169716755896e-11,-7.578336318303656e-10,2.637615358840896e-9,8.025299843238546e-9,6.123625523895777e-8,-1.9660837820686937e-9,1.176938054278164e-7,3.9666834585290304e-11,-7.519840300346707e-9,-1.5001638616602391e-9,1.3226436077321613e-8,-5.834921857810781e-6,9.65029706009516e-7,5.572369625357553e-7,3.5590646826369158e-12,-4.3798083534913114e-10,-1.2040001196627623e-9
-1.1381052026275677e-10,-3.1320439262993846e-11,-2.5207006669801586e-10,2.3238292248479993e-8,2.163404983886913e-8,6.363238414595027e-9,1.3259872245944961e-8,-6.921047816000137e-8,-2.5505196374030214e-9,-6.355710612316273e-9,7.76734181490627e-9,1.2589634035561795e-8,-8.93616520757884e-9,-4.928910437397236e-8,-7.07833289161456e-7,4.1844835732198424e-7,2.0501970276044074e-11,-2.062579948070248e-11,8.46455567648545e-12,-6.50961879725129e-9,5.2360056154140586e-8,-9.902405893565136e-9,-4.9278237876192856e-8,8.716627513662041e-9,1.0149709662564248e-6,-1.4711935712843267e-9,5.386218818012026e-8,4.149612590668157e-9,-4.569273377400274e-9,-0.0001295478840328289,-4.98272915814529e-6,4.301083393573521e-6,-2.317100311487451e-12,1.9449567130000822e-9,-3.565587702737521e-7
1.1283620227469655e-7,1.4987026650026972e-9,-1.1741958857148867e-8,2.163404983886913e-8,0.013095516922366704,-5.7618115741635836e-6,-9.419639831948855e-6,5.173094163040201e-6,2.802343524077053e-6,1.0985974495847866e-5,2.826053319316816e-6,-5.984475760597285e-6,-2.335599857079848e-7,-6.051543086046541e-6,6.811033921930297e-5,-5.399257730210376e-5,-4.189114058620294e-8,1.2306002980016067e-9,9.644232058279735e-8,-1.1298289569906443e-5,2.077451465767395e-5,-8.215264653749816e-6,-0.0002895707763690743,-1.168184660307044e-6,-0.0002823131224293936,7.044770567476965e-7,3.127278188086115e-6,1.3154642176761953e-6,-2.343678259715013e-5,0.09183753260041061,-0.002598674439490617,-0.0015478121807139644,-1.7490398905429489e-9,-1.0723094297659061e-6,0.0003298606224710997
5.997870014767043e-9,-3.044534969313373e-9,3.608216018171657e-9,6.363238414595027e-9,-5.7618115741635836e-6,2.8810381075797654e-5,-1.099644963981055e-6,-2.3795661325085663e-7,-3.583390299535002e-7,1.4378226171661834e-6,-1.9278809608039893e-8,-2.6695311696151836e-7,3.247414006785718e-7,-1.2199795787763633e-6,6.143538174254968e-5,-5.0943503673888746e-5,3.4226712440210733e-9,2.643084866643262e-9,1.0748704377838036e-9,-1.345727214558836e-6,1.3059232720222827e-6,-1.5642009661532303e-7,-1.6229421748425757e-5,2.2850042569492142e-7,-2.3339016056351223e-7,4.710887346076294e-8,-7.691527287822298e-7,1.0754771654404206e-8,-9.153793238216182e-7,-0.0007390605230328805,0.00012282104008639122,-0.0002528459632271867,-2.1771218514283582e-10,8.182838938182832e-8,1.1026193845730792e-5
4.968989573193332e-9,1.7088746580345562e-9,-1.1060486027916661e-8,1.3259872245944961e-8,-9.419639831948855e-6,-1.099644963981055e-6,4.0591756544346455e-5,-2.175375670052931e-7,-2.309541814642775e-7,-9.831275792772658e-7,6.476704160498686e-7,-3.384258820371105e-7,3.581631175979889e-7,-3.783257301582838e-6,-5.910957557606132e-6,5.0619292145925e-6,-1.0664149574693369e-9,2.4735708438881598e-9,-2.555438643310502e-9,-2.1588853312537033e-6,4.070071105159145e-6,-3.903522347412459e-6,-5.6493929067551e-5,1.8809252388998988e-7,0.0001061632839311851,-1.8196032990114828e-8,-8.326626444062822e-7,-2.1990959551442542e-7,1.654177748270518e-6,-0.0009572843491070691,5.4649939576762854e-5,-0.0004564986289128202,2.8958290368344937e-10,2.0994068385600644e-7,1.0484209994282407e-5
2.5852561616977825e-9,-1.2088937296124476e-11,8.462829529651942e-10,-6.921047816000137e-8,5.173094163040201e-6,-2.3795661325085663e-7,-2.175375670052931e-7,6.392313288347131e-6,-1.2755358698508255e-7,3.9541085590311764e-7,8.054005849318282e-8,-9.48239206809009e-8,7.264794348258863e-8,-6.899877951444178e-7,-2.7051599518519585e-6,3.028636315650766e-6,-6.73760787692316e-10,9.57534983486648e-10,-1.5382237106833977e-9,6.08095454279879e-8,4.2964715819204593e-7,-1.1808965673034263e-7,-8.866885200184176e-6,4.015630271476023e-8,-3.048301270775604e-5,1.4251159343385463e-8,1.265739449902977e-6,5.385905943114032e-8,-2.1893113636233405e-7,0.0007544154685215844,6.533752009714827e-5,-2.344409564418074e-5,1.876268149066366e-11,7.579934389793483e-10,5.035600905132883e-6
-7.613747212974164e-10,-8.260524283270481e-11,-1.5901969652384898e-9,-2.5505196374030214e-9,2.802343524077053e-6,-3.583390299535002e-7,-2.309541814642775e-7,-1.2755358698508255e-7,2.7038323900658594e-5,1.5246158326645613e-6,-7.6285489485824e-8,-5.3697037683815266e-8,-2.639619333512417e-10,-4.792768054168211e-7,-4.671366100559407e-6,4.687841820404582e-6,-1.4745415618853283e-9,5.280294205226635e-10,4.16998694135039e-10,1.4188658658521227e-7,1.6085673786168286e-6,-1.6367311338077313e-7,2.7937952439261853e-6,-1.1351710645973355e-7,-3.063340942281646e-6,7.377066851752418e-8,-4.805696560377385e-7,3.1474764374624316e-8,-2.7954340812110787e-7,-0.0038864858103390804,0.00011934544180073466,-9.67484225517837e-5,-1.462538217191827e-10,-2.2063358948324498e-8,-5.885420567670858e-6
-4.800866951317811e-9,6.781688105716864e-10,-9.882619093258872e-10,-6.355710612316273e-9,1.0985974495847866e-5,1.4378226171661834e-6,-9.831275792772658e-7,3.9541085590311764e-7,1.5246158326645613e-6,0.00045966516496137317,6.511069399825396e-6,-5.48632277478326e-7,-3.407393445799808e-7,-1.3335442342787765e-6,0.00011163530245383449,0.00038750464310204107,-8.787934282039003e-11,1.6393298109131956e-9,-5.119866321712575e-9,-1.0871144847571676e-5,-2.120110836691705e-7,3.4423589374424814e-6,5.012883059130977e-5,1.2659236820606492e-6,6.700213048620373e-6,-8.833458363193642e-8,4.2084834250766654e-8,1.3009907239366643e-7,-1.0591656898318396e-6,0.007312105742746159,-0.0003652120527005281,0.0003097831032365974,-9.170398512069268e-11,-4.760509320135957e-8,3.866360071899758e-6
