"parameter_names","parameter_values"
sd_glaciers,0.0005570342397728105
sd_greenland,0.00022874242659962922
sd_antarctic,0.0004358351109822129
sd_gmsl,0.00010696447918779022
rho_glaciers,-0.32246146035198325
rho_greenland,0.8999764579737904
rho_antarctic,0.9682499283227739
rho_gmsl,0.5737249024865253
thermal_s0,0.021403683083532576
greenland_v0,7.431268242542091
glaciers_v0,0.3989122012734114
glaciers_s0,0.07473005470204108
antarctic_s0,-0.005117557205601261
thermal_alpha,0.21052410247478923
greenland_a,-1.37994893096305
greenland_b,7.983856104352301
greenland_alpha,0.000796534535268547
greenland_beta,0.00017310528100088587
glaciers_beta0,0.0009329062792992963
glaciers_n,0.6255189361652177
anto_alpha,0.046408639967391786
anto_beta,0.906727803340207
antarctic_gamma,2.563299230473086
antarctic_alpha,0.15099150357441174
antarctic_mu,9.288023744166706
antarctic_nu,0.005932257089870291
antarctic_precip0,1.4763852295235815
antarctic_kappa,0.0800601070356216
antarctic_flow0,1.23006042281026
antarctic_runoff_height0,1120.3239863658512
antarctic_c,130.71900235219303
antarctic_bed_height0,797.3146726241173
antarctic_slope,0.0006956678281465295
antarctic_lambda,0.009301677671102033
antarctic_temp_threshold,-16.177101372930736
