"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51"
3.764220389532171e-6,-6.480908983384669e-6,-1.88793329170544e-10,1.2681083131602735e-10,1.1579179422396668e-10,-9.579336540357344e-9,3.478691029860491e-8,-1.5002110487109706e-5,1.029523615796065e-7,-1.6684394351681352e-6,-1.5131360117293947e-8,1.5800417731853844e-7,-1.027330147448983e-7,-7.114109101644187e-10,-2.866787560144275e-7,1.661400796172625e-5,4.0443028399339343e-8,2.4981507726301188e-5,-1.0233126706737816e-7,1.5794808177180677e-7,-4.350924588933357e-7,3.8974315859719567e-7,1.2833770944761556e-7,-2.946651985274248e-6,-4.3426853638831396e-7,-9.554758441211158e-6,-4.054417625977909e-6,9.603767323497253e-7,1.4198925318704234e-6,9.63610508692336e-8,6.913989583974442e-7,-2.777008287390897e-8,6.255063931627373e-11,-4.233988354925896e-10,1.3204786657711852e-9,2.8846999734269225e-7,6.465212397297116e-7,-6.036848692193386e-8,1.432718113912316e-6,-1.6089507997541276e-7,2.2612140016307184e-6,1.3756508304919806e-9,-7.967060508707645e-8,1.6766469923049896e-8,-1.911351123086104e-7,-0.003106428981770909,-0.0001753976293499584,2.6007800105753817e-5,6.9575999212582325e-12,2.128895071694791e-9,-3.841682648355365e-6
-6.480908983384669e-6,0.03711509407067622,-8.395325109529325e-8,5.2816385022673234e-8,-1.1255518611167886e-7,2.0626264400223612e-7,1.4806054373930907e-5,-0.000124284032055616,-0.0010268594737363398,2.146141117064739e-5,3.1638783252583124e-6,2.3809299308940766e-5,-2.417593826425754e-6,-6.884092328545208e-7,0.00025739654616772434,-0.001111107896836811,-6.858416846359003e-5,-0.018888887170541414,-1.6197024854502634e-6,1.9934031446022946e-5,-3.201307822709511e-5,1.48717068749372e-5,3.2949157407712658e-6,0.0006234492062953926,1.4677761563712538e-5,0.006868832839835346,0.004067430853394163,-0.00036927470684617074,0.0001535720262113284,-8.225902995845244e-5,6.024836583360991e-5,3.580865674354947e-5,-3.234930064641945e-8,1.102610915311646e-9,-3.0884040530291014e-7,6.445627498932002e-5,0.0001129243788880897,-8.411114753432527e-5,0.0001762205750247464,3.1269037402633655e-6,-0.0011064983915621922,6.08865952777098e-7,0.00014029690307978734,7.888104265431858e-6,-3.1850907048020474e-6,0.3243731339265511,0.01890444328343471,0.0022410245924924977,-2.0939906135101744e-10,1.625768734242443e-7,-0.0001973715335203993
-1.88793329170544e-10,-8.395325109529325e-8,6.299857944677815e-10,-5.044062941686484e-12,-8.583128702015441e-12,3.6660630784236065e-11,-9.837495643642949e-9,2.3939124057342985e-9,-1.242258965417117e-8,-1.7699671460912254e-8,1.1543390851776046e-10,-1.2127569220823345e-9,-2.0436254601761365e-9,-1.561075337095016e-10,2.6002700262630713e-8,2.4222350496203796e-7,3.0976855419746413e-9,6.454174779826723e-7,-4.1077602529783405e-11,-4.1314746235689396e-10,-3.5175204173368683e-9,-8.62184740761407e-10,1.0923812322361258e-9,-2.9137442362920157e-8,-2.4003191961100558e-9,-6.487208977654564e-7,-5.6897024827547217e-8,9.939794513126209e-9,-1.3380676689882258e-8,6.227392183586978e-10,1.3477964455226492e-8,-8.35067612167271e-9,-3.3028353576964235e-12,8.275611113258427e-14,1.5039427421704376e-11,1.403422845477343e-8,3.7541526300672e-9,-1.1973459314530126e-8,2.1379079800547807e-7,1.3884809544531448e-11,-3.73999538025417e-8,-7.807792233174193e-11,3.0046858476812765e-8,1.6949586879976096e-9,4.417154647774094e-11,9.103702303110851e-6,5.155136006282652e-7,1.144204761182378e-6,8.460258817379886e-13,-5.984696691632759e-10,-6.811358248742433e-8
1.2681083131602735e-10,5.2816385022673234e-8,-5.044062941686484e-12,2.8854374091182257e-10,-3.0517350673384634e-12,-9.171086184627394e-11,-7.329167688213321e-9,5.2276941947176815e-9,-1.4033600556516797e-9,-9.750398831069232e-9,-4.930342540883883e-10,3.3200853784085934e-9,3.697343519870867e-9,-5.513080829585334e-13,2.0486039788163434e-8,2.1388643110557428e-7,-2.145623805739653e-9,-1.487911890028017e-8,-1.6430682413264224e-10,-8.307350927483698e-9,-1.865337944709063e-9,7.499563075874865e-10,7.194698103725006e-10,1.3461127342981183e-8,8.270347805669045e-9,-5.265759602685461e-7,-1.670491485272511e-9,-2.8706282763561323e-9,1.1025363798086254e-8,-2.34073700694596e-9,-1.2943466487626258e-8,-4.779186895902321e-9,1.5775040411893923e-11,7.0126032088214374e-12,-8.648724258658633e-12,1.4332111341744162e-8,7.981635648217367e-9,-5.610387667547603e-9,7.999895043364042e-9,1.918450216302438e-11,-1.2362575047816483e-7,3.979960010742984e-11,1.142775500121388e-8,8.755344157450466e-10,-2.5182259711002366e-9,1.601027805242773e-5,9.554966445246314e-7,-6.583322339222093e-7,-5.829359833859984e-13,-7.823021624880095e-12,-3.605695517958512e-8
1.1579179422396668e-10,-1.1255518611167886e-7,-8.583128702015441e-12,-3.0517350673384634e-12,2.5673733514978385e-10,-5.77403682156264e-11,8.50677891821517e-10,2.3892964189213765e-9,1.455346957780817e-8,-1.1415395491048892e-8,2.205514776582463e-10,-2.8523116974588688e-8,5.271986372911272e-10,-1.4315745893227287e-10,7.93880650582437e-9,1.0832922664816098e-7,1.8626953134438186e-9,8.31620387565135e-7,1.3807336890591083e-9,-5.732790279343436e-9,-8.753465605257643e-11,9.284954461432362e-10,4.897604115217385e-10,-4.119809116168632e-8,-1.024501744567628e-8,3.0159900351753976e-7,-1.4325259766277595e-7,1.3875472385469186e-8,-6.0571181386910105e-9,-1.3826108564959702e-9,2.0038358158334255e-9,-1.0757096524448753e-9,-1.969240497829995e-12,-4.4898738988590275e-12,8.966159300582602e-12,-4.2562139167575696e-11,-3.0427012206949355e-8,1.559072661060242e-8,8.537499345332053e-8,1.7136214408723714e-10,1.5264377571978984e-7,-6.063595408319984e-11,4.2519727073804504e-8,1.9154628725043853e-9,7.3480099376805325e-9,-3.0631983254937294e-5,-1.7382162748952203e-6,-4.463225364903745e-7,7.333242184534267e-13,-2.5078416909584837e-10,-2.2945642857299543e-8
-9.579336540357344e-9,2.0626264400223612e-7,3.6660630784236065e-11,-9.171086184627394e-11,-5.77403682156264e-11,2.581918943136019e-8,-2.2429164710300427e-8,-4.74752179961936e-8,-5.630700769825575e-8,-3.895743625035587e-10,1.730351736861625e-9,3.830491039393276e-8,-7.253601362580213e-7,-1.6462444223195817e-9,3.0693993181185073e-7,-2.369503261351794e-6,-7.678473631458104e-9,-6.084411412995078e-6,1.510218901437231e-8,1.307725949999735e-8,-3.497220563038601e-8,1.814359071634326e-9,-3.918809881456689e-9,-2.410564007886624e-7,2.5734962520720115e-8,2.375024375427879e-6,3.6587405030337767e-7,-2.1614633936379517e-7,-3.397617787058242e-7,9.048726850602806e-10,3.4696841227427786e-8,4.6969777532874053e-8,1.3656525608338574e-11,3.687878964794019e-11,-7.845858024089259e-11,-2.015423274068538e-8,2.1368499867555685e-8,-6.656845662546313e-8,-3.513500199783134e-7,-7.656522909695939e-9,-1.843338406488136e-7,-1.6791681981551283e-9,-1.6286447014789577e-7,-6.328510541822335e-9,3.2510932947929684e-9,0.0004347547139282154,2.520097129919577e-5,4.185190490693084e-6,-1.6762158502994472e-12,-2.4921708322249143e-9,-2.9286314351110915e-8
3.478691029860491e-8,1.4806054373930907e-5,-9.837495643642949e-9,-7.329167688213321e-9,8.50677891821517e-10,-2.2429164710300427e-8,0.00012280203416794528,4.127633078647446e-6,-1.5956607393466434e-6,1.1332078493736287e-5,-1.9463526698959643e-7,2.4546000003807864e-6,1.9995552411597615e-6,2.0727550655670054e-7,-5.028303845632917e-5,-3.356439426977435e-5,-8.610956065564183e-8,0.00014207268755009176,4.197641897602092e-7,2.354481236413461e-6,-1.211100426872308e-6,6.3155688898939e-7,2.5446270214346687e-7,1.3115839935044753e-5,3.8286550490741765e-6,0.00033890549620904626,-7.058685476287452e-6,1.939965954106685e-6,9.357422541794558e-6,7.103434389347574e-7,9.725713260204905e-7,6.636640282511136e-6,-1.1519890171528664e-10,2.482925625896797e-9,3.2150375764284364e-9,-3.1733994704255764e-6,4.4189344283522786e-6,-2.4735606248021265e-6,-9.351024651022315e-6,-1.2446171068949955e-6,-3.234618851574021e-5,-6.494549980879241e-8,-1.2923956151445113e-5,-7.81362518542395e-7,1.5689941254911928e-6,-0.0012292565208480999,-6.58923135615994e-5,-0.00021775339374896708,-8.825814474984955e-11,1.1021384988355482e-7,1.3287037740657548e-5
-1.5002110487109706e-5,-0.000124284032055616,2.3939124057342985e-9,5.2276941947176815e-9,2.3892964189213765e-9,-4.74752179961936e-8,4.127633078647446e-6,0.0005404133553714979,-1.4869172823833875e-5,3.7465150807569274e-5,3.180765344057404e-9,5.232946217008975e-7,3.4028924969730206e-6,-9.605458614615337e-8,1.7472921560380627e-5,-0.00015749445990733384,1.7578087486595723e-5,0.0036021458499938238,1.248169166042198e-7,1.6272341094835946e-6,1.2853258208794161e-6,-3.2708060730293573e-6,-2.5547369327400277e-7,-6.722157465894367e-5,-2.526883505756398e-5,-0.00020838267700162415,-0.0001739123384796719,7.898190646838388e-5,-3.052840890830515e-5,5.848938080071955e-6,-2.1845735737818076e-6,-1.1817510169616866e-5,2.4500920582309244e-9,2.8807334751976504e-9,8.50062676347802e-8,7.0029175824613746e-6,-3.913507583327918e-6,3.252710441658523e-6,5.6975713381901765e-5,-1.254537744134833e-6,0.00010961395422681385,1.5336520804388326e-10,2.0036898322214493e-5,7.325379922957854e-7,5.4101702196944204e-6,0.03371441754377308,0.0016533540614885065,-0.0006079084084526194,-1.3604591793108238e-11,-7.050200431967094e-7,4.52794457501589e-5
1.029523615796065e-7,-0.0010268594737363398,-1.242258965417117e-8,-1.4033600556516797e-9,1.455346957780817e-8,-5.630700769825575e-8,-1.5956607393466434e-6,-1.4869172823833875e-5,0.00068914037463584,-1.4745106629734676e-5,-6.072865173244207e-7,-1.6503342708752085e-7,-2.8141297156980693e-6,1.4787795850510399e-7,-7.559006610367357e-5,0.00012834271045827127,-2.388871830991886e-6,-0.0011841912216772102,2.7425549254853936e-6,-6.5514995903203795e-6,8.806204949951706e-6,2.7457617812342525e-8,4.857935085355512e-7,-2.3056128784480876e-5,9.04761091392537e-6,-0.0006697825800746134,7.981770098110599e-5,-5.189496790459013e-6,3.8010098391444965e-5,-9.386183715178446e-7,-6.632935712676245e-6,3.122297563260273e-6,4.8247793750437394e-9,-3.5402522904917817e-9,-2.2060825898688602e-8,-4.837037885374482e-6,-9.613342490718907e-6,3.098062480925577e-6,-7.538354683664719e-6,-3.429832330133012e-7,-9.00207226863214e-5,-1.5859943636096338e-7,-2.118217884936634e-5,-1.0152108244405104e-6,-2.7722737876382067e-6,-0.011947633280904497,-0.0006345983719943149,-0.0014344167799393295,-6.401820909193351e-10,6.088409624439484e-7,4.679637090324514e-5
-1.6684394351681352e-6,2.146141117064739e-5,-1.7699671460912254e-8,-9.750398831069232e-9,-1.1415395491048892e-8,-3.895743625035587e-10,1.1332078493736287e-5,3.7465150807569274e-5,-1.4745106629734676e-5,0.009082429434299292,1.0686506980424145e-6,-1.7381848496458693e-6,-4.8065538781078955e-6,1.151855129784948e-7,-5.9007558493575144e-5,0.001390355196549722,-1.3427481938298363e-5,-0.002640822308876318,-1.5479418796989212e-6,-2.9815609730680115e-5,4.932926188829894e-8,3.5879908536493706e-6,-1.0852530734640886e-5,-0.00014892346828983394,-3.460998056582318e-7,-0.0025099242427878594,0.0004010550459240601,-4.470770253815533e-5,3.5331345103730346e-5,-1.1953561018365369e-5,6.574845367926258e-6,5.714540295788532e-6,-1.8374814432520792e-8,4.0403986116246264e-8,-2.1595211452386847e-8,6.423857333193674e-5,-2.1273389915374085e-5,-4.745829874795312e-6,-0.0004938598577136642,-5.49179193284155e-6,0.0005107072284167705,-2.2726683212887725e-7,-0.0001134177448411196,-5.201889506919301e-6,-1.7682656660833952e-5,0.029834840211754227,0.001692704434043301,-0.0008434586948428762,-6.761438469150901e-10,1.2746471378696803e-6,0.00014543007229781717
