Year,MAP Ocean Heat
2149,160.9570298
2150,170.9940449
2151,165.5431055
2152,175.0531473
2153,166.7319574
2154,167.7974296
2155,160.6391202
2156,168.5441056
2157,167.0724409
2158,168.6928187
2159,161.4051859
2160,162.2288713
2161,153.0595336
2162,175.2604645
2163,153.1294512
2164,147.461806
2165,164.4196133
2166,161.5280622
2167,163.7977998
2168,164.5049908
2169,174.6976759
2170,158.1487361
2171,164.2722378
2172,177.5293023
2173,168.7314531
2174,155.8873335
2175,179.5771015
2176,161.2334001
2177,163.999089
2178,157.6967453
2179,162.9090247
2180,173.19142
2181,172.3286992
2182,162.0617564
2183,164.9305054
2184,167.1178824
2185,164.9920259
2186,158.3603207
2187,171.474948
2188,169.5865181
2189,169.5075055
2190,167.4717151
2191,176.027308
2192,170.3862385
2193,171.5649661
2194,178.4392951
2195,159.6788111
2196,165.1953267
2197,189.7180522
2198,167.244396
2199,175.1078043
2200,174.8012234
2201,190.0017796
2202,186.0564563
2203,161.1470889
2204,179.934975
2205,180.4857524
2206,176.5317848
2207,169.0376454
2208,187.7938946
2209,172.7311109
2210,173.8787872
2211,167.9145354
2212,176.2397625
2213,168.6440684
2214,172.5194143
2215,170.4693906
2216,175.7825007
2217,188.9558024
2218,164.4219706
2219,180.753738
2220,159.7315682
2221,186.5143934
2222,179.7358547
2223,164.0727754
2224,174.9118522
2225,176.4466453
2226,167.1823267
2227,176.2748899
2228,170.1763043
2229,177.8503379
2230,170.0401061
2231,174.7166995
2232,185.7526847
2233,172.111978
2234,177.5559075
2235,169.7411899
2236,172.5945519
2237,175.509632
2238,180.8251317
2239,170.8380589
2240,170.4135316
2241,185.3962533
2242,176.1857139
2243,171.8830788
2244,190.8390985
2245,180.5507768
2246,179.4643949
2247,168.1275336
2248,178.4316957
2249,185.8557578
2250,169.707112
2251,183.1048183
2252,170.720273
2253,168.0958597
2254,171.9576493
2255,172.3075025
2256,169.8344127
2257,174.4253868
2258,178.24199
2259,172.2786351
2260,172.5289381
2261,183.897781
2262,162.4856126
2263,171.9039246
2264,178.9678987
2265,183.1790438
2266,175.838671
2267,178.9530615
2268,180.2013241
2269,174.9494621
2270,186.338943
2271,181.5259713
2272,172.7149584
2273,186.61211
2274,172.2149131
2275,193.0040322
2276,178.3064987
2277,188.4624666
2278,183.0162326
2279,184.9493981
2280,183.5949401
2281,189.6209189
2282,189.6546559
2283,189.7595422
2284,179.8896159
2285,192.4728447
2286,185.3721197
2287,191.8223225
2288,196.808226
2289,192.3643476
2290,180.9557109
2291,195.2699634
2292,183.4649655
2293,190.5331416
2294,179.3547245
2295,188.425025
2296,188.0213411
2297,173.9659048
2298,179.4484517
2299,177.3979868
2300,186.2912248
