Year,MAP Ocean Heat
2149,244.5630951
2150,247.0394276
2151,256.6664336
2152,262.9544393
2153,260.5261871
2154,253.5815895
2155,259.6925287
2156,279.6167499
2157,265.3616888
2158,257.5525433
2159,271.127433
2160,265.3423486
2161,256.0204212
2162,261.7778447
2163,257.183058
2164,249.0008661
2165,260.1884036
2166,267.6873586
2167,259.6634457
2168,279.9114319
2169,268.4991205
2170,260.0407748
2171,269.1973786
2172,267.5826526
2173,266.1952265
2174,284.5139995
2175,278.5200899
2176,290.3296129
2177,276.9213
2178,279.6391657
2179,290.4384045
2180,280.5934394
2181,274.0956474
2182,269.4112954
2183,281.85586
2184,289.8171121
2185,286.7058779
2186,277.4970487
2187,278.4324766
2188,284.9524833
2189,280.8318327
2190,278.5438359
2191,289.6030518
2192,284.5185198
2193,282.7793434
2194,297.880311
2195,302.9931123
2196,286.9833328
2197,289.7284699
2198,290.5307993
2199,284.9868482
2200,281.9351657
2201,292.1702647
2202,296.309833
2203,291.1239364
2204,307.4365611
2205,305.0138498
2206,291.2492063
2207,296.5190898
2208,297.171574
2209,300.1136662
2210,311.4091408
2211,304.2078424
2212,310.0643148
2213,305.2514081
2214,298.4967949
2215,313.4551354
2216,311.9198411
2217,299.2225635
2218,293.9268035
2219,296.480474
2220,308.039699
2221,306.7456445
2222,315.4331183
2223,308.5450918
2224,323.7991221
2225,311.6924874
2226,311.5257175
2227,311.0426443
2228,315.4592126
2229,308.468926
2230,318.2466147
2231,314.4714122
2232,325.8140718
2233,322.1179296
2234,317.0483221
2235,315.49724
2236,322.1578377
2237,316.3361948
2238,323.7706078
2239,320.4144377
2240,311.2469336
2241,324.2730613
2242,317.8225199
2243,326.9369735
2244,327.5930109
2245,332.5766851
2246,320.4416643
2247,335.3750081
2248,327.4961754
2249,322.4861693
2250,321.1180575
2251,329.8968716
2252,331.111203
2253,343.11325
2254,337.2865488
2255,331.1022093
2256,341.5242686
2257,335.3700432
2258,335.0084331
2259,340.4466738
2260,341.7287852
2261,334.0260913
2262,345.8150661
2263,347.6414703
2264,338.3555321
2265,335.4381619
2266,327.7890011
2267,341.2455163
2268,353.8078581
2269,343.6711901
2270,357.8562648
2271,331.1443462
2272,354.5981801
2273,338.7355618
2274,345.6640129
2275,336.9665768
2276,351.4103552
2277,348.3802808
2278,344.650471
2279,340.3657615
2280,347.0006266
2281,346.6468275
2282,355.327259
2283,340.8604631
2284,339.9950344
2285,335.7425497
2286,342.9349702
2287,344.1877454
2288,363.0229667
2289,354.4439499
2290,343.4800724
2291,363.027081
2292,368.9393725
2293,346.3015236
2294,359.9160243
2295,342.4334558
2296,349.5181366
2297,351.1210239
2298,342.2031818
2299,356.6351516
2300,354.0994037
