Model,Scenario,Region,Variable,Unit,Activity_Id,Mip_Era,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2313,2314,2315,2316,2317,2318,2319,2320,2321,2322,2323,2324,2325,2326,2327,2328,2329,2330,2331,2332,2333,2334,2335,2336,2337,2338,2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2349,2350,2351,2352,2353,2354,2355,2356,2357,2358,2359,2360,2361,2362,2363,2364,2365,2366,2367,2368,2369,2370,2371,2372,2373,2374,2375,2376,2377,2378,2379,2380,2381,2382,2383,2384,2385,2386,2387,2388,2389,2390,2391,2392,2393,2394,2395,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2408,2409,2410,2411,2412,2413,2414,2415,2416,2417,2418,2419,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2432,2433,2434,2435,2436,2437,2438,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,2487,2488,2489,2490,2491,2492,2493,2494,2495,2496,2497,2498,2499,2500
AIM,rcp60,World,Radiative Forcing,W/m^2,not_applicable,CMIP5,,,,,,,,,,,,,,,,0.0,0.12602655,0.27303147,0.27887064,0.24204524,0.24282439,0.28414227,0.29985709,0.29075585,0.27809954,0.26883905,0.27685606,0.30576066,0.33787519,0.34758091,0.34167396,0.33372182,0.29101994,0.17560532,0.090269194,0.16245306,0.28956182,0.35299901,0.36176885,0.25105384,0.08888224300000001,0.10802003,0.23279865,0.29457518,0.29173845,0.25684617,0.24505257,0.26205657,0.27746741,0.2856347,0.30345983,0.3258144,0.32293762,0.3082946,0.30625174,0.30554894,0.29656247,0.28733627,-0.20660893,-1.3501184,-1.7519646,-0.95612856,-0.27918259,-0.077907142,-0.59896164,-2.0619414000000003,-2.5631787999999998,-1.3942302,-0.26564772,0.18534697,0.31186677,0.31898449,0.32152238,0.32554213,0.33373696,0.34767769,0.36602933,0.38537657,0.39560049,0.36951757,0.15158463,-0.24271242,-0.35068953,-0.061975790999999995,-0.21529972,-0.81911312,-0.73506426,-0.12480708,0.24917938,0.36350119,0.3435049,0.31934023,0.31997325,0.29345202,0.28857789,0.33883415,0.39159098,0.42985878,0.45891745,0.44499804,0.40539615,0.39862512,0.40052091,0.3934753,0.38414144,0.24282623,-0.21107251,-0.44449029,-0.09683634099999999,0.26210904,0.39070948,0.35779049,0.2581144,0.26390439,0.33623394,0.37076405,0.3750448,0.37953974,0.40476502,0.44070511,0.4698686,0.46881912,0.42277264,0.36978899,0.35373474,0.332461,0.28830947,0.29298153,0.33420941,0.368246,0.39995496,0.42920523,0.33982025,-0.56353326,-1.3017754,-0.71893884,-0.23580858,-0.11721518,-0.016598936,-0.08450957,-0.12348587,-0.02816829,0.17145477,0.34036723,0.45854671,0.43496617,0.26290903,0.16316606,0.25869933,0.36799034,0.41475781,0.39849017,-0.041670226,-0.40336913,-0.081701345,0.28507922,0.389716,0.36949981,0.38664275,0.45257997,0.47406745,0.47502449,0.23787245,0.1428922,0.38792615,0.54484665,0.61946613,0.65507998,0.66254981,0.64062566,0.53860773,0.51390834,0.59917404,0.6188415,0.62160553,0.65690052,0.70124531,0.72125112,0.67462867,0.62401289,0.65251894,0.6785285,0.64515032,0.65684612,0.71706368,0.77329698,0.83155121,0.84505011,0.833606,0.83751216,0.84838382,0.84065291,0.79637885,0.77291049,0.8014979,0.84012487,0.87434778,0.88946972,0.89886532,0.87852081,0.84163896,0.80135099,0.76630996,0.74610376,0.75480507,0.81537626,0.89909856,0.96679968,0.98244834,0.96883259,0.88020351,0.75156663,0.64515114,0.1620533,-0.18567194,0.16267508,0.59334428,0.76875547,0.60919867,0.57531732,0.84740204,1.0370201,1.0974393999999998,1.0624488,0.91537051,0.82176973,0.97769425,1.1988288999999999,1.2758337,1.3561905,1.466064,1.4077614,0.71477621,0.40876639,0.95187721,1.2513233999999998,1.3423653,1.4352832,1.5760874,1.7006148,1.7456356,0.80674072,0.18316716,0.8971375,1.436801,1.6412118000000002,1.7378776999999999,1.8156668000000002,1.9242133000000001,2.0332218999999996,2.0961904,2.1279809,2.1453595,2.1378986,2.1258179,2.0818331000000003,1.982861,1.9369348000000002,1.9639063,2.0462718,2.1568101000000004,2.2303296,2.2792008999999998,2.3014952999999996,2.2952529999999998,2.2882061,2.2977981,2.3173997,2.3414791,2.3696331,2.4515607999999998,2.5608361,2.6318123,2.6775434,2.6978631,2.6910353,2.6844557,2.6954626,2.7173342000000003,2.7444617,2.7729491000000004,2.8489562999999998,2.9494043999999997,3.0118921000000003,3.0493504000000002,3.0616137,3.0468764999999998,3.0324909,3.0357576,3.0499224,3.0712011,3.100516,3.1847033,3.2952068,3.3669654,3.4134933,3.4347479,3.429025,3.4237572999999997,3.4362972999999997,3.4586818,3.4840818999999996,3.5129248,3.5957007000000005,3.7056327000000007,3.7770672999999997,3.8234516000000003,3.8446974999999997,3.8390739999999997,3.8339977999999997,3.8500655,3.8838116,3.9257047999999997,3.9715126000000005,4.0710184,4.1974669,4.285227900000001,4.347764,4.3850050000000005,4.3952384,4.404396299999999,4.4283231,4.4615844000000004,4.4997371,4.5417769,4.6369182,4.7584158,4.8406451,4.897074400000001,4.9276489,4.929019,4.9269926,4.939793099999999,4.9612209,4.9853999,5.011565900000001,5.0890252,5.1911078,5.252259400000001,5.2860017,5.2924545,5.270109400000001,5.2472212,5.2418922,5.2473573,5.2579765,5.2728227,5.3410529,5.4359568,5.4919804,5.5219242,5.5250387000000005,5.5006875,5.4768517,5.4703312,5.4743723,5.4833222,5.4962434,5.562281700000001,5.6546314,5.7076056,5.7346085,5.735549,5.7087115,5.6815280999999995,5.6713642,5.6715072,5.676337,5.6849447,5.7465019,5.834226,5.882446900000001,5.9045847,5.900567700000001,5.868696,5.8364124,5.821089700000001,5.8160346,5.8156464,5.8190218,5.875337200000001,5.9578137,6.000783,6.0176674000000006,6.0083995,5.9712836,5.9337691,5.9132373,5.902987,5.8974060999999995,5.8955922,5.9467224000000005,6.0240175,6.0618062,6.073513200000001,6.059073400000001,6.01679,5.9741151,5.948429900000001,5.9661767,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379,5.9938379
AIM,rcp60,World,Radiative Forcing|Anthropogenic,W/m^2,not_applicable,CMIP5,,,,,,,,,,,,,,,,0.0,0.016318812,0.033547871,0.03516955,0.036621026,0.038122043,0.039303677999999995,0.040576622,0.042338505,0.044211575999999995,0.046207954,0.04836247,0.050671443,0.053062222,0.055435443,0.057700993,0.059382599,0.060955722000000004,0.06294422400000001,0.065007475,0.067235093,0.069678227,0.072311665,0.07505713,0.077825245,0.080551774,0.082788937,0.085015058,0.087685339,0.09034361,0.09298445400000001,0.09561085400000001,0.09777923,0.09992943800000001,0.10249673,0.10458936,0.10667018,0.10831278,0.11039539,0.11334439,0.11583097,0.11788262,0.11993518,0.12236436,0.12464114,0.12670368,0.1281316,0.12943757,0.13112989,0.13283102,0.1341638,0.13515444,0.13620993,0.13770056,0.13956212,0.14132005,0.14297777,0.14415504,0.14489353,0.14606649,0.14727597,0.14852136,0.14979547,0.15109002,0.15281897,0.15210916,0.15116837,0.15100437,0.14909562,0.14729543,0.14551703,0.14216652,0.13924995,0.13851328,0.13883572,0.13928818,0.14028413,0.14231716,0.14488968,0.14795179,0.15076993,0.15428176,0.15766331,0.1611151,0.1645557,0.16657464,0.17057924,0.16829106,0.16501087,0.16649638,0.16791993,0.17031765,0.17239154,0.17630173,0.17892086,0.17462193,0.16592148,0.17215539,0.18223288,0.18435681,0.18467733,0.18020371,0.17512323,0.17626413,0.18232298,0.18700396,0.18212782,0.16392822,0.14990102,0.15249886,0.15924699,0.16710546,0.17965835,0.19053248,0.19585594,0.1937272,0.19571685,0.20764228,0.21710044,0.2249431,0.23566528,0.24440116,0.24843665,0.24494393,0.24603871,0.24842658,0.24600666,0.24573889,0.24612343,0.24555958,0.24343987,0.24397357,0.24709122,0.25077282,0.25418154,0.25791651,0.25973949,0.26166118,0.26349998,0.26587735,0.27030438,0.27307219,0.27553747,0.28523707,0.29769283,0.30438406,0.31434485,0.32784531,0.33847319,0.3514688,0.36578181,0.3740792,0.38058034,0.38910164,0.40323186,0.41402184,0.425861,0.43931982,0.43874124,0.44144694,0.45307756,0.4637363,0.47066961,0.47787279,0.48668409,0.49818014,0.51564969,0.53379881,0.54694856,0.55480904,0.56297859,0.56925783,0.57566193,0.58955637,0.59976398,0.60040981,0.59760078,0.59431171,0.59299835,0.59123056,0.59027107,0.58655836,0.57895654,0.57260652,0.57287846,0.57404745,0.56168656,0.55003428,0.55008287,0.55199419,0.55514058,0.55891851,0.56328276,0.57218953,0.59040482,0.61266012,0.61854867,0.61973921,0.63015159,0.6407826,0.65706711,0.67900631,0.69847938,0.72107279,0.75401956,0.79442908,0.83539343,0.87201267,0.90516124,0.93091733,0.95288509,0.97560691,1.0046644,1.0440764,1.0880973,1.1248441999999998,1.1482957,1.1638796999999999,1.1851636,1.2172613,1.2518596000000002,1.2856954,1.3218258999999999,1.36554,1.4086326999999998,1.4446482,1.4670094,1.4775542,1.4940153999999999,1.5197768,1.5564719999999999,1.5943539,1.6194694,1.6440801,1.6706331,1.6863253,1.7049748,1.7387641,1.7752675,1.8072955000000002,1.8385466000000001,1.8718879000000002,1.9046691999999998,1.9382513,1.9737431,2.0105581999999997,2.0491389,2.088639,2.1273441,2.1650662,2.202128,2.2385299,2.2742228,2.3092135,2.3439781,2.379032,2.4145842,2.4506217,2.4869814999999997,2.5237119,2.5608484000000002,2.5983775000000002,2.6361944,2.6741572999999996,2.712196,2.7472941000000004,2.7764276000000003,2.8031525,2.8307015,2.8587884999999997,2.8874624,2.9166896,2.9464127999999996,2.9764895,3.0067455,3.0389353999999997,3.074861,3.1121745,3.1489549,3.1857748,3.2229314,3.2605966,3.2988382000000005,3.3376792,3.3770290999999997,3.4155050000000005,3.4518163,3.4872697999999995,3.523172,3.5593807999999996,3.5958767,3.6328898,3.6705462,3.7088872000000004,3.7479196000000004,3.7907974,3.8406347000000003,3.8934391,3.9458576,3.9984897000000004,4.051215,4.1040372000000005,4.1572022,4.2108538,4.2650515,4.3183181,4.369055,4.418407599999999,4.467471499999999,4.516121900000001,4.5643894,4.6121639000000005,4.6594545,4.7065125,4.753497599999999,4.798832099999999,4.840914499999999,4.880525,4.9180440999999995,4.9531342,4.9859109,5.0164965,5.044855999999999,5.071068799999999,5.0954398,5.1183032,5.1399225,5.161143099999999,5.182624099999999,5.2041804,5.2257108,5.2471677,5.2685242,5.2897049,5.310789700000001,5.3313623,5.3508875,5.3705006,5.390773599999999,5.4110631,5.4311955,5.4510566,5.4705884000000005,5.489753,5.5083795,5.526415,5.5440467,5.5613978,5.5785246,5.59545,5.6120961,5.6283304,5.6440714000000005,5.6592897,5.6739730999999995,5.6879742,5.7012563,5.7140227999999995,5.7264165,5.738509099999999,5.7503343000000005,5.761821599999999,5.7728578,5.7833808,5.793366799999999,5.8028084,5.8115618,5.819592299999999,5.8271055,5.8342483,5.8410967000000005,5.847691,5.8539692,5.8598101,5.8651404000000005,5.869937200000001,5.874193599999999,5.877765599999999,5.8806156,5.8829513,5.8849221,5.8866032,5.8880369,5.889161799999999,5.8898557,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082,5.890082
