Year,MAP Temperature
1850,-0.190756798
1851,0.049607878
1852,-0.025024881
1853,0.109498004
1854,0.185990104
1855,0.011390209
1856,0.059663038
1857,0.066279192
1858,0.001972936
1859,0.095444172
1860,0.147823619
1861,0.23119764
1862,0.145388926
1863,0.014528368
1864,-0.048099558
1865,0.134843566
1866,-0.006749367
1867,-0.094824942
1868,-0.052969355
1869,-0.156251699
1870,0.100265931
1871,0.108533849
1872,0.226901778
1873,0.004418213
1874,0.213637547
1875,0.11430798
1876,-0.0965112
1877,0.155153834
1878,0.175890414
1879,0.215669685
1880,0.162991005
1881,0.101725903
1882,0.029977866
1883,0.110081334
1884,-0.096523206
1885,-0.300097475
1886,-0.224129442
1887,-0.151499224
1888,-0.108461087
1889,0.13387962
1890,0.023695264
1891,0.085988217
1892,-0.00946901
1893,0.146184496
1894,-0.207683054
1895,-0.084147889
1896,-0.138571091
1897,-0.063733745
1898,0.163408841
1899,0.218227293
1900,0.144560606
1901,0.113787296
1902,0.182439811
1903,0.15151074
1904,0.141247424
1905,0.110295175
1906,-0.071772423
1907,0.080851295
1908,0.130963285
1909,0.129940641
1910,0.190763558
1911,0.268554581
1912,0.315567122
1913,0.009423329
1914,0.059820547
1915,0.083120883
1916,0.037541618
1917,0.036776522
1918,0.076296025
1919,0.020650952
1920,0.100689357
1921,-0.014152461
1922,-0.00429741
1923,-0.008610038
1924,0.140524587
1925,0.263778771
1926,0.273382647
1927,0.181579359
1928,0.133766086
1929,0.03541695
1930,-0.028319694
1931,-0.027843807
1932,-0.058149484
1933,-0.069652299
1934,-0.128451536
1935,-0.050241011
1936,-0.084504085
1937,0.03798607
1938,0.182213654
1939,0.273203681
1940,0.260433417
1941,0.263162576
1942,0.123603591
1943,0.130912924
1944,0.268522738
1945,0.076963483
1946,0.052977199
1947,0.323639513
1948,0.181671902
1949,0.245805225
1950,0.202415606
1951,0.282191768
1952,0.312461562
1953,0.304794219
1954,0.304471587
1955,0.309446043
1956,0.210284229
1957,0.278519144
1958,0.248951005
1959,0.358078495
1960,0.296035852
1961,0.370124142
1962,0.393853817
1963,0.204322115
1964,-0.046789443
1965,0.052789158
1966,0.050595755
1967,-0.009330258
1968,0.160653864
1969,-0.023709331
1970,0.224636768
1971,0.010023873
1972,0.138705721
1973,0.254143038
1974,0.252451769
1975,0.220804732
1976,0.19275163
1977,0.223083691
1978,0.248680669
1979,0.258783912
1980,0.194019203
1981,0.520905848
1982,0.438795988
1983,0.26130339
1984,0.29437932
1985,0.283050847
1986,0.393317206
1987,0.387612268
1988,0.417754598
1989,0.451275255
1990,0.555904155
1991,0.456368641
1992,0.375693489
1993,0.452440518
1994,0.516823684
1995,0.60330878
1996,0.697488607
1997,0.650087969
1998,0.776253761
1999,0.750934191
2000,0.876191273
2001,0.853008077
2002,0.864069278
2003,0.852015698
2004,0.775288704
2005,0.764910044
2006,0.898792626
