"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51"
2.8391840495849753e-6,2.98947575141271e-6,-9.141186239895033e-10,2.238489149630852e-10,-7.914277698257213e-10,-3.22828458795335e-9,-2.1917789158749798e-7,-1.0883536580184392e-5,5.594696924864068e-7,-9.541972078005031e-7,-5.026001090302852e-9,8.829761691792171e-8,5.962098689017933e-7,-5.292634557403753e-9,-7.282087051585713e-7,-2.4262180295592216e-5,-2.841656502503196e-7,5.6757268536827336e-5,-1.8149786966092393e-7,-8.853885989708949e-7,-4.401527154937875e-8,3.069280892185474e-8,3.9318642994607145e-8,-1.956790794221311e-6,-6.582413324871485e-7,4.258556906543104e-5,-2.992000138867183e-6,-4.3422723226630116e-8,-2.250198272290922e-6,-9.029021525448142e-9,3.5394216150733066e-7,-1.0138081135205185e-6,4.5137334439904525e-10,-1.8711416237082044e-11,2.7451794999161075e-10,-4.2289283821913765e-8,7.633078759492655e-7,-2.4925571460099334e-7,-2.5524464467694198e-6,-7.360851511829561e-8,8.357748563248252e-6,-2.149159457295863e-9,6.059886278974254e-7,4.27746889321541e-8,-5.896894234730412e-7,-5.383968454779657e-7,-4.025405432684642e-6,-6.589620899414147e-5,8.235974795546072e-12,-8.985153900166114e-10,-2.8468917641838095e-6
2.98947575141271e-6,0.031455515323383615,-1.0648929578137189e-7,2.0554045326958706e-8,-6.574880565507476e-9,-2.964295934227421e-7,-2.6678843543873593e-6,6.947499528329388e-5,-0.0009333846955195662,0.0005028705717188371,2.9432551692790755e-6,-3.278051368070707e-5,2.114567434098625e-5,3.8918114778227805e-7,0.00044965553873029456,0.002741481480360987,-5.77955237670233e-5,-0.014877819813889605,2.3426265200795717e-5,-8.758158711493443e-6,1.2863978769824744e-5,4.366430232321648e-6,1.723323596200913e-5,0.0006141578952844756,0.0001442848070136012,-0.0027721521893533606,0.003155211999162543,-0.0002113836704977204,0.0004570451649939673,-7.689998724672472e-5,0.0001252680848808156,2.811272201797348e-6,-1.4841189460507184e-8,8.039472494301295e-9,-2.1523774183096666e-7,1.8370730531265474e-5,2.7268608638744873e-5,2.3999978687795216e-5,-9.61714336857242e-5,2.624551548589621e-6,0.00026490134647199276,-9.476756654144288e-7,-0.00025882861175353754,-1.1628313769696895e-5,1.5598421007647644e-6,0.003721399774765352,0.0006722695153718344,0.0002612792223815198,-5.9425495869283115e-9,-2.5668338357088287e-6,-0.00012672878593078505
-9.141186239895033e-10,-1.0648929578137189e-7,4.867854992731377e-10,-2.8785587211356536e-12,-1.5116304567894482e-11,-9.009942505594197e-11,-4.13945847456595e-9,4.255405170589793e-9,1.7404223998738847e-8,5.924672055669884e-8,5.293604080047273e-10,1.9266734828608456e-9,-1.412198759305495e-9,-2.9593213564538847e-10,6.228946458306804e-8,5.945117640863634e-7,2.066085464450172e-11,2.2623398152047345e-7,-2.9321318866716538e-9,-3.952637196944303e-9,-1.2203315663900676e-9,1.7200066881113873e-9,4.632207005121019e-10,3.5316108122808374e-8,1.3119000290954603e-8,-4.3572262908568754e-7,-6.478022753165587e-9,-4.033698755714916e-9,-3.1962106595731423e-10,1.876681279695643e-9,9.162736966418912e-9,-5.251993591292418e-10,-2.1200503492171206e-12,8.186970374831483e-12,7.13154410839135e-13,-1.0357086437732589e-8,-8.620077594331714e-9,1.0438876246189036e-8,-7.070886227775382e-9,2.2809481895848687e-9,-1.567810700858194e-7,6.905744395714936e-11,5.457992299388207e-9,6.677996809328443e-10,-4.068083652642388e-9,2.2285244291156762e-5,1.229657509883224e-6,2.297881403058608e-6,5.307286528392414e-13,-6.131229618147802e-10,1.7305041635717247e-8
2.238489149630852e-10,2.0554045326958706e-8,-2.8785587211356536e-12,2.358154933780402e-10,-2.2765748380241363e-12,-4.363634152961357e-11,-3.055435183467755e-9,4.57764185599995e-9,7.083112944297273e-9,2.007968612883507e-8,-7.405240770284353e-10,1.347649162699203e-9,1.8741593823458646e-10,-3.2443532600478767e-11,-9.367262138794694e-9,1.1318421730926954e-7,-2.0940623032547783e-9,4.377053449999741e-8,1.3040028006693162e-9,3.3002212954389674e-10,3.5979584121959656e-9,8.082751313965356e-10,1.7111998766224015e-9,-1.4249415462283e-8,-2.789270205634085e-9,1.3441923595400465e-7,5.64595972508045e-9,-6.75686430871385e-9,-1.768353954732372e-8,-8.157242905989374e-10,-4.61308110861491e-9,-1.025737307949835e-8,3.733500667700535e-12,-8.151289996993112e-13,-4.686821489027781e-12,6.216077187022276e-9,-1.2376043992828471e-9,-3.3405371185729717e-9,6.467104669309438e-8,-9.638293426790624e-10,-7.2593858586697756e-9,5.388008357944264e-11,-2.2340806087138805e-8,-1.2352091295817845e-9,5.524605217628172e-10,-3.3828299212140775e-6,-2.096909784298494e-7,-2.346707071510908e-7,-1.299550568917453e-13,-9.573345586901437e-11,-8.003434372966318e-9
-7.914277698257213e-10,-6.574880565507476e-9,-1.5116304567894482e-11,-2.2765748380241363e-12,2.5135503624323344e-10,-7.397334159257347e-12,-4.994133621649296e-9,7.506002675757426e-9,-3.829609168484904e-9,1.1261647977829978e-9,2.791548772911528e-10,-1.6304424042459698e-8,-1.0214885952757826e-9,-3.511865739828901e-11,2.2764254802302437e-8,2.40373594578692e-7,2.615077733774628e-9,6.485015751771524e-7,8.807295247636595e-10,-1.0839006631278235e-10,-4.865682459481291e-10,-1.5532220009650224e-9,3.4118280689929275e-10,-5.2339792506865704e-8,-1.0308117098375716e-8,-2.7319480464622397e-7,-9.586307390282708e-8,1.5554552205819274e-8,-2.1432482924786124e-9,-2.678042330119617e-9,-4.939251671840801e-9,6.678420967621337e-9,-3.617381052988132e-12,-4.023979648790903e-12,1.4236696797985298e-12,-9.705413830453266e-9,-1.3790251563858412e-8,1.1478162437808373e-9,3.202785059403138e-8,-2.4084036661346806e-9,1.384392024230624e-7,-2.0123013583167403e-10,3.126117429044673e-8,7.544461747969942e-10,1.1128003494740137e-8,-1.4871664728813113e-5,-8.40247803092096e-7,7.444542004530365e-7,2.235295963553937e-12,1.2128818567341147e-10,2.2825929116216784e-8
-3.22828458795335e-9,-2.964295934227421e-7,-9.009942505594197e-11,-4.363634152961357e-11,-7.397334159257347e-12,1.7427386747936953e-8,-5.8500896306554533e-8,1.6945925191431085e-8,2.9588450186301067e-9,5.02377813940817e-8,3.391758021000784e-9,4.6389287343380984e-8,-4.111914755741228e-7,-1.0067239776589334e-9,1.260926191778158e-7,1.2073724360530392e-7,-2.2176906182901712e-9,-3.941625822953758e-6,7.556116542036582e-9,-2.348168794482917e-8,-1.1854747115037943e-8,5.138867653292745e-9,1.5326864145328806e-8,-5.181832905813485e-7,-5.734511719559872e-8,-4.484519379950536e-6,6.531675614764789e-7,1.1509143022792035e-8,7.285950133288887e-8,3.747593136760257e-8,1.5134765678922355e-8,3.2381342254710054e-8,3.410219491333007e-11,-3.6119413212599703e-11,1.821589546001966e-11,1.0976553431753122e-8,2.820710147160544e-9,-3.528062171695481e-9,-5.975510284632298e-7,-2.9926182618692066e-9,-2.1600977597354295e-7,-1.0728783462255951e-9,-3.53091776679186e-7,-1.649438112750063e-8,-2.2664405218567075e-8,6.104490038808617e-5,3.402583682263674e-6,-1.4156039864373548e-5,-1.2991394304780187e-11,2.4364172327545292e-9,-2.752264032273312e-7
-2.1917789158749798e-7,-2.6678843543873593e-6,-4.13945847456595e-9,-3.055435183467755e-9,-4.994133621649296e-9,-5.8500896306554533e-8,9.403792580739342e-5,2.2002588349157008e-7,2.886153271614252e-6,-1.0631713792952608e-5,2.689415415636092e-7,1.1836685900848257e-6,3.3759289312490812e-6,1.4665462925068685e-7,-4.14835433050805e-5,-4.031573439291919e-5,-5.514629713321402e-7,-8.389478075001993e-5,-7.512667684913265e-8,1.5759219031662458e-6,-2.6371031697328687e-7,-1.3087597134829658e-6,7.175525814046314e-7,-2.1544074714734365e-5,-1.1359499936626796e-6,-1.1473383772059285e-6,-2.516444459263736e-6,8.769450823629754e-7,9.946681211109812e-6,-6.965119834975242e-7,-2.523908092406313e-7,4.35422604697313e-6,2.0563399950615673e-10,-7.85121876000537e-10,-3.0230831267673376e-9,-2.013250634157177e-6,5.785369240829789e-7,2.4381912421583376e-7,-3.080141177386247e-5,-1.232708338845233e-6,-2.766122034432297e-6,-8.26691424413983e-9,4.806372444273629e-6,3.170172074591884e-7,-1.2771750817740215e-8,0.008212991606673239,0.0004973005354919853,-0.00047262027333320545,-2.1736526096190706e-10,-1.9104970053577972e-8,8.131224650639253e-6
-1.0883536580184392e-5,6.947499528329388e-5,4.255405170589793e-9,4.57764185599995e-9,7.506002675757426e-9,1.6945925191431085e-8,2.2002588349157008e-7,0.00041906052236999266,-1.2353379624027462e-5,4.189855001740833e-5,-1.7491841167463137e-7,-2.3594530856668813e-6,-1.8397383007535213e-6,3.2773514149868064e-8,7.241803568627221e-5,-0.00011630543348010045,1.3053583344637125e-5,0.0016456777013104246,-2.5032960523477476e-6,5.8023898877381214e-6,-6.871803586072994e-7,-1.8095718884768703e-6,3.711966682032515e-7,4.6377352214441166e-5,-2.4253105828844874e-6,0.0004001593947948719,-5.294715051202973e-5,3.150791716671887e-5,-3.182745488354947e-5,4.617867266717208e-6,5.663644679287249e-6,-1.5269387686278079e-6,2.8782281534057864e-9,1.552373188555837e-9,4.2940325280363347e-8,-1.5851640717999456e-6,2.5958114625475226e-6,-6.370489912536773e-6,0.00015078341752445217,-5.719099205606558e-7,7.954461062673453e-5,-3.626861767298712e-8,5.477017439493913e-6,-2.173555026805363e-8,7.757347094747792e-6,0.01585852582095037,0.0007532897518600735,1.0252599933591007e-5,-2.8849368187050067e-11,-3.9680539458665066e-7,-3.442167411011677e-5
5.594696924864068e-7,-0.0009333846955195662,1.7404223998738847e-8,7.083112944297273e-9,-3.829609168484904e-9,2.9588450186301067e-9,2.886153271614252e-6,-1.2353379624027462e-5,0.00046753149717343445,2.339914469582928e-5,-2.6247717412940554e-7,6.345704883464545e-7,6.466331586877098e-7,5.1819007689747037e-8,-5.6483806313401004e-5,0.00020909770726601723,-4.750403632575496e-6,-0.001913485776904265,-2.8141695812006415e-6,-3.4831620698693013e-6,-1.5314775109087728e-6,1.070235216959271e-6,-1.3622775362338276e-6,4.57498609836815e-5,5.396730565375795e-6,0.00013973453232057445,0.0001875117521796205,-2.121391294726938e-5,1.116281745710969e-5,-4.789056171082502e-6,-1.4861502044400229e-6,5.12364061258431e-6,6.301120526768466e-9,7.489183876933038e-10,-1.4124300963381888e-8,-3.1471696082238932e-6,-1.0756946122817761e-5,9.697320106117933e-6,2.4479735056569717e-5,7.006611170392647e-7,-0.00015726950661903115,4.371424202681386e-8,-1.3760454769599856e-5,-6.394825103122844e-7,-2.4815777293842392e-6,0.016182730260839294,0.0009341749540530881,0.0011083377337809408,3.400871728548971e-10,3.9249615406896444e-7,1.5664411618508387e-5
-9.541972078005031e-7,0.0005028705717188371,5.924672055669884e-8,2.007968612883507e-8,1.1261647977829978e-9,5.02377813940817e-8,-1.0631713792952608e-5,4.189855001740833e-5,2.339914469582928e-5,0.006988703001803942,-1.4538766161049165e-8,-3.645198820202896e-6,1.4402012061789464e-6,-7.269494762583621e-7,-1.1595953970529164e-5,0.0009104766203699135,-2.934481745782003e-6,0.00033725518117887513,-7.509723320488811e-6,1.9312499560755353e-5,-1.9498074617734106e-5,4.728488859689713e-6,-1.6260244481785174e-6,-4.7492884095272996e-5,-3.8124757441178866e-5,0.0034682229143759838,2.3116393324572348e-7,-1.8905032624023572e-5,-3.665563835473641e-5,-1.1313748170589325e-5,-1.627697953402794e-5,-1.8479602231755737e-5,-4.446628922631134e-10,-3.635561465594012e-8,3.609491101094437e-8,2.8925607276737447e-5,-1.402627714864687e-5,1.46635423904366e-5,0.00011256705227187092,-1.817627097036712e-6,-0.00018092416850328048,9.620043515270351e-9,4.0555559375894956e-5,2.630536640894266e-6,-1.754056052059013e-5,-0.10910512846570501,-0.006224052077509512,0.0017958539245630364,1.7959432858394117e-9,2.5627026715351593e-6,2.2911449360833945e-5
