x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
-9.30E-08,2.55E-05,2.46E-09,7.72E-10,-1.81E-08,-5.21E-09,2.32E-06,-3.97E-06,-1.42E-05,-8.95E-08,5.61E-05,-3.20E-07,6.32E-07,-6.32E-05,2.26E-07,-7.10E-07,2.90E-07,4.32E-08,2.89E-05,-7.95E-08,-5.63E-06,-1.02E-06,-2.77E-06,-1.10E-06,1.86E-09,-2.71E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.95E-07,-4.54E-06,-1.95E-05,1.06E-07,-1.15E-05,2.18E-08,-4.05E-06,-7.05E-07,4.26E-06,0.000160644,3.48E-05,-5.84E-05,6.63E-10,1.57E-07,-7.07E-06
4.95E-08,1.30E-06,6.05E-10,-3.92E-10,-3.05E-10,-3.01E-08,2.13E-07,-1.78E-07,-7.36E-07,-1.24E-08,-3.20E-07,1.97E-06,1.40E-07,4.68E-06,-7.21E-08,6.60E-08,-1.16E-09,8.67E-08,-7.34E-07,4.53E-07,2.25E-06,-1.18E-07,-4.19E-07,9.97E-07,9.01E-10,-1.07E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-06,-1.31E-06,-6.13E-07,3.20E-07,-8.47E-06,-6.79E-09,-4.48E-06,-2.26E-07,-1.19E-07,0.001090341,6.33E-05,-1.38E-05,-8.98E-11,-7.92E-09,-2.66E-06
4.02E-07,-6.66E-05,1.41E-09,-4.77E-09,5.38E-10,-1.72E-08,2.09E-05,-2.56E-06,-1.07E-05,-1.02E-07,6.32E-07,1.40E-07,3.94E-05,0.003245869,-9.45E-08,-3.51E-07,-1.23E-06,2.62E-07,-9.11E-05,5.48E-05,-6.49E-05,9.01E-09,-4.00E-06,-8.34E-06,3.75E-09,7.59E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-06,6.44E-06,4.84E-06,5.38E-08,1.09E-05,-2.50E-08,2.25E-08,-2.43E-07,1.90E-06,0.003050693,-8.80E-05,0.000336821,2.98E-10,-9.68E-09,-2.58E-06
5.97E-05,-0.021833391,1.18E-07,-7.38E-07,1.94E-07,-5.80E-06,0.006022108,-0.001627809,-0.001633681,-1.26E-05,-6.32E-05,4.68E-06,0.003245869,1.279079199,2.25E-05,0.000255069,-0.00018818,-9.94E-06,-0.133983196,0.012049853,-0.018220027,3.30E-05,-0.001043853,-0.000303557,3.13E-07,5.59E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.000149287,0.001035736,0.002002674,-5.80E-05,0.000745462,-6.17E-06,0.00083295,1.33E-05,0.000160565,-0.488479354,-0.05274754,0.028992303,4.84E-08,-8.78E-06,0.002185658
-1.18E-07,-7.18E-06,6.17E-10,9.01E-10,3.75E-10,8.81E-09,1.91E-06,5.09E-07,1.89E-06,2.32E-09,2.26E-07,-7.21E-08,-9.45E-08,2.25E-05,1.68E-05,-1.52E-06,5.31E-07,-9.98E-08,-1.24E-05,3.51E-07,9.17E-07,-3.19E-08,-1.24E-07,-2.36E-06,8.08E-11,-5.48E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.21E-08,5.86E-07,4.33E-06,-3.14E-07,1.77E-05,2.07E-09,4.12E-06,1.73E-07,3.85E-07,0.002411345,0.000134401,-9.10E-06,1.70E-11,-7.25E-09,-4.51E-07
-3.45E-08,-6.33E-05,-1.21E-08,6.10E-09,2.66E-09,1.15E-08,4.14E-06,-3.05E-06,-3.91E-06,3.63E-08,-7.10E-07,6.60E-08,-3.51E-07,0.000255069,-1.52E-06,0.000239095,-1.02E-06,-5.65E-07,-8.79E-07,4.40E-06,-2.98E-06,4.18E-07,9.38E-06,0.000225702,-3.04E-09,-4.64E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.84E-06,1.59E-05,-5.55E-06,-1.20E-06,1.01E-05,-8.15E-09,3.57E-06,5.29E-07,1.92E-07,0.000562046,4.85E-05,-0.000423685,-8.43E-10,1.41E-07,-2.25E-05
8.22E-08,1.88E-05,2.46E-09,-3.50E-11,-3.09E-10,1.35E-08,-8.90E-07,-1.83E-06,-2.18E-06,-4.40E-09,2.90E-07,-1.16E-09,-1.23E-06,-0.00018818,5.31E-07,-1.02E-06,2.59E-05,1.42E-07,5.73E-06,-5.65E-06,-6.68E-06,1.39E-08,-7.60E-07,1.29E-07,-1.51E-09,7.71E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.58E-06,-1.54E-06,6.53E-06,4.98E-07,6.72E-06,-1.40E-08,6.60E-09,-3.92E-08,1.91E-08,0.001159023,9.03E-05,0.000291824,2.04E-10,-4.29E-09,6.15E-06
2.05E-07,1.14E-05,2.30E-09,2.88E-10,-1.02E-09,8.52E-09,-2.28E-06,2.98E-07,-3.34E-06,-3.18E-08,4.32E-08,8.67E-08,2.62E-07,-9.94E-06,-9.98E-08,-5.65E-07,1.42E-07,1.82E-05,3.51E-06,1.00E-06,2.13E-06,-1.29E-08,1.80E-06,-1.77E-06,9.74E-12,-2.27E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.87E-07,6.49E-07,-1.21E-05,2.07E-07,1.08E-05,7.53E-09,-2.11E-06,-1.58E-07,1.94E-08,0.000486411,3.40E-05,-2.80E-06,3.66E-11,-3.58E-08,-5.46E-06
-6.79E-06,0.003259823,-7.07E-08,4.17E-08,-1.87E-08,7.18E-07,-0.000586176,0.000130214,0.000124568,1.07E-06,2.89E-05,-7.34E-07,-9.11E-05,-0.133983196,-1.24E-05,-8.79E-07,5.73E-06,3.51E-06,0.024921312,-0.000828806,0.002302096,-2.86E-06,7.77E-05,-7.84E-05,4.78E-08,-4.64E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.31E-05,-1.99E-05,-0.000135476,8.42E-06,-4.20E-05,3.68E-07,-0.000146282,-8.56E-06,9.28E-06,0.166735558,0.007211081,-0.002299855,-3.19E-09,2.15E-06,-0.000488923
1.13E-06,-0.000223385,9.35E-10,-1.70E-08,4.78E-10,-1.37E-07,0.000107813,-8.25E-06,-2.51E-05,-2.35E-07,-7.95E-08,4.53E-07,5.48E-05,0.012049853,3.51E-07,4.40E-06,-5.65E-06,1.00E-06,-0.000828806,0.000284155,0.000449385,6.70E-07,-1.85E-05,-7.92E-06,9.36E-09,8.75E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-9.77E-07,1.40E-05,1.82E-05,6.61E-07,-7.72E-05,-4.43E-08,7.41E-06,-2.40E-07,5.47E-06,-0.008119782,-0.00085068,-7.94E-05,2.58E-10,-1.49E-07,-5.01E-07
