x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54
2.60E-07,7.97E-05,9.43E-10,6.79E-09,-6.13E-09,2.87E-08,1.91E-06,-1.34E-05,1.14E-05,-9.46E-06,4.56E-08,-7.36E-06,-1.01E-06,-9.48E-08,8.04E-05,0.000120959,-1.58E-05,-0.002155788,-1.73E-06,5.56E-06,1.21E-06,6.06E-07,0.00225504,0.000488749,-0.014910091,-3.16E-05,-8.96E-05,0.000105759,-5.77E-06,6.59E-07,9.65E-06,1.70E-09,-5.43E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.73E-06,-1.47E-06,-6.86E-05,-8.27E-07,8.19E-07,1.91E-07,-2.29E-06,-2.40E-07,1.61E-07,0.009463681,0.000767018,-0.001149429,-5.39E-10,2.50E-07,4.11E-05
-3.98E-06,-0.003422654,6.78E-07,-5.83E-07,-2.21E-07,2.04E-06,0.000115195,-0.000353218,-9.49E-05,-2.67E-05,4.09E-05,0.00011729,-0.000174371,-4.16E-06,0.002296186,0.011045466,-6.43E-05,0.009291764,9.47E-05,-0.000517923,-5.00E-05,-3.57E-05,-0.005594626,-0.014910091,2.172999992,-0.005869262,-0.000847454,-0.000119823,6.65E-05,0.000695309,-0.000609767,-4.24E-08,2.62E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.71E-05,-0.000229763,0.001889415,6.37E-05,0.011081369,-2.30E-06,0.000440735,1.87E-05,6.09E-05,0.72090705,0.039757127,0.053344057,3.64E-08,-8.87E-06,-0.002773199
-8.06E-07,0.003388835,6.89E-08,-2.99E-08,-2.57E-08,-7.12E-08,5.86E-06,-8.45E-05,0.000158906,-2.34E-05,-2.41E-07,8.38E-06,-5.38E-05,-8.35E-07,3.11E-05,0.000362894,-2.24E-06,-0.088441338,1.14E-06,1.63E-05,1.26E-05,8.79E-06,0.001012381,-3.16E-05,-0.005869262,0.021627407,-0.000563212,0.000976335,-0.000385469,3.93E-05,0.000112298,-5.73E-09,1.28E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.62E-05,-3.75E-05,2.33E-05,-4.11E-06,0.001147034,2.06E-07,-0.000316169,-1.43E-05,-1.38E-05,-0.065111574,-0.005933288,-0.00105892,-7.82E-09,-3.94E-06,6.78E-05
3.06E-07,-0.00021027,-1.02E-08,9.58E-10,2.75E-08,2.63E-08,-9.68E-08,3.42E-05,-1.11E-05,-5.99E-07,-2.57E-07,3.54E-06,1.06E-05,-7.77E-08,-4.98E-05,-0.000140497,5.23E-05,0.010096564,-4.23E-07,3.75E-06,-3.18E-06,-5.62E-07,-0.000377413,-8.96E-05,-0.000847454,-0.000563212,0.000325829,0.000353178,1.24E-05,-3.36E-06,-2.19E-05,3.16E-09,1.48E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.39E-05,1.33E-05,3.02E-05,4.64E-08,-0.000136094,-9.06E-08,4.91E-05,2.18E-06,3.98E-06,-0.015446387,-0.001175823,0.000491635,1.38E-09,-2.11E-07,2.01E-05
1.01E-06,0.00044946,1.09E-08,-3.79E-09,2.81E-08,4.24E-08,9.16E-06,-5.22E-05,3.47E-05,-2.77E-05,-6.23E-08,2.31E-06,7.77E-06,1.86E-08,5.79E-06,-0.000164279,-1.61E-05,-0.003808475,-3.63E-06,6.00E-06,-5.88E-07,1.23E-06,8.46E-05,0.000105759,-0.000119823,0.000976335,0.000353178,0.001751922,-7.06E-05,1.89E-06,3.55E-08,-9.70E-10,7.41E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.25E-05,-3.83E-06,-8.78E-05,-9.68E-07,-0.000100861,2.69E-07,3.16E-05,1.89E-06,7.03E-06,-0.066075402,-0.002485659,-0.000364036,5.49E-10,-8.83E-07,-4.96E-05
9.39E-08,-9.01E-05,-2.47E-09,-2.40E-09,-5.17E-09,4.81E-08,7.60E-08,8.25E-06,-2.92E-06,-1.33E-06,-1.69E-08,-5.81E-07,3.80E-06,9.94E-09,-2.21E-06,-8.17E-05,4.70E-06,0.002091854,6.20E-07,-1.86E-06,-1.37E-07,-1.01E-07,-3.75E-05,-5.77E-06,6.65E-05,-0.000385469,1.24E-05,-7.06E-05,2.87E-05,1.40E-06,3.12E-06,-2.02E-09,-4.14E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E-06,6.89E-07,4.40E-06,6.88E-07,-4.74E-05,7.22E-09,-1.46E-05,-5.06E-07,-3.20E-06,0.006362439,0.000288535,-0.000211619,-8.74E-10,1.50E-08,9.21E-06
2.68E-07,9.22E-06,1.45E-08,-1.15E-08,-4.16E-09,3.78E-08,4.41E-06,1.96E-06,-7.58E-06,-2.16E-05,-4.85E-07,-1.87E-06,-4.83E-06,5.94E-08,-3.42E-05,9.26E-06,9.20E-07,-0.000253316,8.24E-07,3.56E-06,2.66E-07,-1.06E-06,5.88E-05,6.59E-07,0.000695309,3.93E-05,-3.36E-06,1.89E-06,1.40E-06,0.000165986,-4.47E-05,7.26E-09,1.82E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.58E-06,-4.80E-07,-1.80E-05,1.15E-06,3.13E-05,4.09E-08,-2.58E-05,-1.38E-06,-2.13E-06,0.010998975,0.0006102,0.000362057,-1.39E-11,-3.54E-08,1.94E-05
-1.67E-07,0.000122801,-1.04E-08,-8.93E-09,-1.38E-09,1.26E-08,5.38E-06,-4.07E-06,1.57E-05,-5.73E-05,-2.35E-07,2.24E-06,5.89E-07,8.33E-08,-1.36E-05,0.000139308,-5.33E-06,-0.001132964,1.62E-07,0.000221151,1.37E-06,2.20E-06,-1.37E-05,9.65E-06,-0.000609767,0.000112298,-2.19E-05,3.55E-08,3.12E-06,-4.47E-05,0.000529669,7.56E-09,1.42E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-9.96E-06,2.44E-06,-1.46E-05,-1.37E-06,-0.000165256,4.18E-08,2.90E-05,1.23E-06,6.53E-06,0.034554851,0.002064113,0.000583233,8.75E-10,5.54E-08,1.40E-05
1.45E-11,-2.04E-08,-9.17E-12,9.84E-12,4.17E-12,6.60E-12,-2.87E-09,7.34E-10,1.45E-09,-1.69E-09,3.42E-10,2.97E-10,1.71E-09,-7.47E-11,2.45E-08,4.88E-08,9.60E-10,1.04E-07,-1.05E-10,1.59E-09,-1.56E-10,9.26E-10,1.13E-08,1.70E-09,-4.24E-08,-5.73E-09,3.16E-09,-9.70E-10,-2.02E-09,7.26E-09,7.56E-09,9.26E-11,-2.12E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.99E-09,4.88E-09,4.08E-08,1.89E-11,1.00E-07,-1.93E-11,1.20E-08,4.67E-10,1.76E-09,2.23E-06,1.31E-07,3.33E-07,5.32E-13,-1.66E-10,-2.93E-08
-3.31E-10,-6.73E-10,2.75E-12,9.04E-12,-8.96E-12,-4.86E-11,1.43E-09,5.65E-09,-1.18E-09,-2.11E-08,-2.74E-11,8.31E-10,-5.21E-09,6.43E-11,6.21E-09,5.36E-08,3.32E-09,4.41E-07,-3.56E-10,-1.08E-08,-1.30E-10,1.60E-10,-8.66E-09,-5.43E-09,2.62E-07,1.28E-08,1.48E-08,7.41E-09,-4.14E-09,1.82E-09,1.42E-07,-2.12E-11,1.78E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.67E-09,2.16E-10,-3.45E-08,1.16E-09,-5.31E-08,4.70E-11,-3.02E-08,-1.51E-09,-1.57E-09,2.33E-05,1.27E-06,-3.69E-07,-7.92E-13,8.68E-11,2.20E-08
