x1,x2,x3,x4,x5,x6,x8,x9,x10,x11,x12,x13,x17,x18,x19,x20,x21,x22,x23,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
-2.37E-06,1.14E-05,4.61E-09,2.71E-08,-4.29E-08,-2.92E-07,8.08E-05,-3.24E-05,-5.30E-05,4.20E-05,5.86E-06,-2.32E-07,-2.02E-05,0.003081445,2.45E-06,7.22E-05,7.42E-06,-1.55E-05,1.11E-06,-0.00121923,6.92E-05,0.000579752,-2.48E-06,0.004109057,-0.002350382,3.64E-07,8.34E-09,-7.59E-08,-6.07E-06,-6.05E-06,5.79E-05,5.99E-05,1.43E-05,-0.000792947,3.69E-07,1.95E-06,9.23E-07,1.13E-06,-0.145991361,-0.008103725,-0.006325099,-7.12E-09,1.30E-06,-0.000183748
5.50E-07,0.000106861,2.27E-08,-1.72E-08,2.28E-08,1.70E-07,-8.41E-05,7.74E-05,0.000128548,-3.50E-05,-3.18E-06,2.20E-07,-2.72E-05,-0.008370164,-9.98E-06,0.00022257,3.64E-06,1.21E-05,-3.22E-06,0.000790298,-0.00016942,-0.000183621,4.76E-07,-0.002350382,0.001914869,-1.95E-07,-8.84E-09,-5.87E-08,2.08E-05,-3.74E-05,7.54E-07,-1.28E-06,2.80E-06,0.000510128,2.38E-08,-4.81E-06,2.08E-07,-1.35E-05,0.080852864,0.005019791,0.008412319,5.66E-09,-1.24E-06,0.000355123
-5.02E-10,-4.15E-09,6.67E-12,-8.46E-12,1.36E-11,-5.18E-11,3.88E-08,-2.18E-08,-8.68E-09,4.31E-10,-5.36E-09,-1.01E-10,2.76E-08,3.24E-06,8.60E-10,1.64E-08,5.59E-09,-6.17E-10,-1.54E-09,3.29E-07,8.62E-08,-1.01E-07,1.90E-09,3.64E-07,-1.95E-07,3.70E-10,-4.94E-11,1.04E-10,-4.06E-09,7.47E-09,1.13E-08,-1.52E-07,-3.22E-09,4.43E-08,-7.96E-12,3.17E-09,-4.52E-10,1.72E-08,3.04E-05,1.35E-06,7.60E-07,1.83E-13,-5.09E-10,1.52E-08
5.97E-10,-5.14E-08,-1.27E-11,1.35E-12,-2.40E-12,2.20E-11,6.56E-10,-3.94E-09,-6.26E-09,3.36E-09,2.82E-09,3.12E-11,4.37E-09,7.67E-07,-5.94E-10,9.14E-10,-3.96E-09,-1.96E-10,6.40E-10,-6.87E-08,7.28E-09,-3.39E-08,5.92E-10,8.34E-09,-8.84E-09,-4.94E-11,5.28E-11,8.06E-12,5.03E-09,-9.15E-09,-9.44E-09,5.77E-08,-1.45E-09,1.75E-09,1.10E-12,-1.49E-09,-4.60E-11,-2.25E-09,-1.77E-05,-1.11E-06,-8.88E-07,-2.57E-13,-8.84E-12,-4.96E-08
7.17E-10,1.33E-08,-1.61E-11,-4.95E-12,6.95E-12,-3.29E-10,8.85E-08,-7.50E-08,5.43E-08,1.11E-09,1.25E-09,-1.37E-10,4.62E-08,9.09E-06,2.92E-09,1.96E-08,-1.65E-08,7.17E-08,-2.10E-09,-4.16E-07,1.76E-07,-1.03E-07,2.51E-09,-7.59E-08,-5.87E-08,1.04E-10,8.06E-12,5.33E-10,4.25E-08,4.23E-08,-2.57E-08,-1.33E-08,-2.72E-09,2.29E-08,-6.72E-11,-4.59E-09,7.51E-10,8.74E-09,3.46E-05,1.44E-06,-2.70E-06,-4.43E-12,-5.79E-11,-1.36E-07
-1.93E-06,7.81E-05,-1.55E-08,-9.98E-10,-2.41E-08,-7.92E-08,1.55E-05,-5.04E-05,-4.66E-05,2.57E-06,-6.28E-06,-1.14E-08,-4.38E-06,-0.000421719,4.51E-06,6.91E-06,1.71E-05,-3.08E-06,2.55E-07,-2.70E-05,6.58E-06,0.000111294,1.07E-06,-6.07E-06,2.08E-05,-4.06E-09,5.03E-09,4.25E-08,0.000448102,5.38E-05,-6.17E-05,-1.60E-05,-5.38E-06,9.39E-05,-4.42E-07,2.43E-06,6.35E-09,8.39E-06,0.024334194,0.001288276,-0.004024874,-2.01E-09,1.17E-06,-3.80E-05
3.56E-06,-0.000216719,3.41E-08,-1.97E-09,-6.41E-08,4.60E-07,-1.27E-05,5.12E-05,-2.35E-05,3.25E-06,1.15E-05,2.69E-07,3.97E-06,-0.000956434,-1.67E-06,-1.45E-05,8.80E-06,4.01E-06,2.13E-06,0.000173914,-2.12E-06,-1.96E-06,-1.06E-06,-6.05E-06,-3.74E-05,7.47E-09,-9.15E-09,4.23E-08,5.38E-05,0.000426669,-0.000223514,-9.72E-05,-2.34E-06,-0.000155119,2.39E-07,6.66E-06,6.95E-07,-1.32E-05,-0.040759011,-0.002273986,0.00060456,-1.95E-10,-1.13E-06,-2.28E-05
-2.71E-07,5.61E-05,-2.14E-08,5.07E-09,3.54E-08,-2.24E-07,-1.03E-05,-5.34E-05,-1.54E-05,8.07E-06,-1.54E-05,-1.73E-07,-8.88E-06,-0.000149587,-1.85E-06,2.37E-05,-1.50E-05,7.70E-06,-8.98E-07,-6.14E-05,-3.27E-06,7.04E-05,9.07E-07,5.79E-05,7.54E-07,1.13E-08,-9.44E-09,-2.57E-08,-6.17E-05,-0.000223514,0.000631551,-0.000211536,-1.25E-05,-0.000412686,-1.65E-07,-1.73E-10,1.36E-06,-2.40E-05,-0.001045991,8.09E-05,-0.001519465,-7.93E-09,5.21E-07,-0.000141947
-4.39E-06,0.000218151,-1.15E-07,2.90E-08,9.77E-08,1.32E-07,-4.03E-05,-0.000217397,0.000785759,-3.06E-05,3.56E-06,-2.70E-06,-5.90E-05,-0.006177461,2.91E-06,0.000142332,6.19E-05,-3.81E-06,-2.58E-05,0.000925058,-1.29E-05,0.000701886,-2.51E-06,5.99E-05,-1.28E-06,-1.52E-07,5.77E-08,-1.33E-08,-1.60E-05,-9.72E-05,-0.000211536,0.02781069,4.83E-05,0.000840763,-4.96E-07,3.54E-05,3.94E-06,5.33E-05,-0.141795311,-0.007328555,0.000773519,4.92E-09,-1.32E-06,-0.000267404
-1.56E-07,4.02E-05,-9.41E-09,-2.71E-10,-7.73E-10,-3.49E-08,-5.80E-06,2.62E-06,-1.07E-05,3.80E-07,4.02E-07,6.54E-08,-8.81E-07,-0.00016559,8.23E-07,9.20E-06,-7.06E-07,-6.71E-07,-2.01E-06,1.74E-05,1.09E-06,7.09E-05,-1.82E-07,1.43E-05,2.80E-06,-3.22E-09,-1.45E-09,-2.72E-09,-5.38E-06,-2.34E-06,-1.25E-05,4.83E-05,3.09E-05,-4.53E-05,1.57E-08,-2.79E-06,7.83E-07,-5.82E-06,0.005831761,0.000399705,0.000132494,-1.82E-09,3.05E-07,-3.94E-05
-7.21E-06,-0.000565649,6.57E-07,8.04E-09,-8.31E-08,-1.96E-07,8.08E-05,-0.000291067,-0.00084873,-7.76E-05,-3.19E-05,2.65E-06,-1.22E-06,-0.005186828,3.07E-05,6.28E-06,-4.80E-06,-5.58E-05,-7.49E-05,0.0008762,6.30E-06,0.000267535,5.05E-06,-0.000792947,0.000510128,4.43E-08,1.75E-09,2.29E-08,9.39E-05,-0.000155119,-0.000412686,0.000840763,-4.53E-05,0.080944713,1.70E-05,5.57E-05,-2.95E-05,0.000348217,0.225228871,0.010564495,0.044545311,1.04E-07,3.73E-08,-0.001310692
