"Description: This spreadsheet contains the IMBIE-2019 dataset for Greenland, which includes data on the annual rate of change and cumulative change in Greenland’s ice sheet mass, its surface mass balance and ice discharge anomalies, and their estimated uncertainty. The data are expressed in units of equivalent mean global sea level rise (millimetres per year – columns B, C, F, G, J and K, and millimetres – columns D, E, H, I, L and M).	",,,,,,,,,,,,
Source: http://imbie.org/data-downloads/,,,,,,,,,,,,
"Publication: The IMBIE Team, Mass balance of the Greenland Ice Sheet from 1992 to 2018. Nature, (2019)",,,,,,,,,,,,
"Downloaded: May 23, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
Year,Rate of ice sheet mass change (mm sea level/yr),Rate of ice sheet mass change uncertainty (mm sea level/yr),Cumulative ice sheet mass change (mm sea level),Cumulative ice sheet mass change uncertainty (mm sea level),Rate of mass balance anomaly uncertainty (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level),Cumulative surface mass balance anomaly uncertainty (mm sea level),Rate of ice dynamics anomaly (mm sea level/yr),Rate of ice dyanamics anomaly uncertainty (mm sea level/yr),Cumulative ice dynamics anomaly (mm sea level),Cumulative ice dynamics anomaly uncertainty (mm sea level)
1980.00,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0029334931800000000000,0.0631155093158018000000,,,,
1980.08,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0058669863600000100000,0.0892588092704924000000,,,,
1980.17,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0088004795400000100000,0.1093192688805560000000,,,,
1980.25,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0117339727200000000000,0.1262310186316040000000,,,,
1980.33,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0146674659000000000000,0.1411305692646540000000,,,,
1980.42,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0176009590800000000000,0.1546007926795930000000,,,,
1980.50,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0205344522600000000000,0.1669879415207920000000,,,,
1980.58,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0234679454400000000000,0.1785176185409850000000,,,,
1980.67,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0264014386200000000000,0.1893465279474060000000,,,,
1980.75,,,,,-0.0352019181600001000000,0.2186385377611110000000,-0.0293349318000000000000,0.1995887651195090000000,,,,
