x3,x4,x5,x6,x10,x11,x12,x13,x19,x20,x21,x22,x23,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
3.88E-10,-1.67E-09,1.45E-09,1.82E-08,2.33E-06,5.77E-07,6.59E-07,-9.59E-07,-2.04E-07,-2.79E-06,2.61E-06,-8.88E-07,3.25E-05,-4.61E-07,7.62E-06,-7.99E-06,-5.47E-10,2.00E-10,-6.05E-09,-4.82E-06,5.35E-07,-5.24E-06,-2.23E-05,-8.22E-07,-3.08E-06,1.74E-08,1.44E-09,6.64E-09,-6.08E-07,-0.001931116,-0.001169737,-0.000132167,7.55E-11,1.33E-07,-4.97E-05
-3.04E-09,8.28E-10,-3.19E-08,-2.56E-10,-8.64E-06,-1.32E-06,-3.44E-06,3.26E-06,-1.64E-11,4.60E-06,3.68E-07,-2.35E-07,-4.61E-07,2.95E-05,3.19E-06,1.06E-05,6.11E-10,-1.30E-09,-1.73E-08,4.97E-06,5.82E-06,1.56E-06,-4.38E-07,5.17E-07,9.89E-05,6.54E-08,1.20E-06,4.49E-07,-5.25E-06,0.004835634,0.000244435,0.000407679,-1.04E-09,1.76E-07,3.65E-06
-5.94E-08,6.27E-08,-9.63E-08,-6.11E-07,0.000265179,4.14E-05,2.09E-06,2.03E-05,3.89E-06,0.000163275,8.41E-06,4.75E-06,7.62E-06,3.19E-06,0.006004841,-0.003188381,5.64E-07,4.16E-08,-1.59E-08,-9.32E-06,1.28E-05,4.57E-05,-0.000529245,9.98E-06,0.001195766,-2.66E-07,-2.83E-05,1.59E-06,-4.30E-05,0.091107058,-0.003695724,-0.000872113,-5.88E-09,-3.36E-06,0.000252462
4.57E-08,-4.03E-08,4.94E-08,3.45E-07,-6.07E-05,-3.46E-05,-2.56E-06,2.21E-08,2.29E-06,0.000352067,-1.73E-05,3.43E-06,-7.99E-06,1.06E-05,-0.003188381,0.00237989,-1.60E-07,-2.32E-08,3.71E-08,1.45E-05,9.56E-06,-4.47E-05,-3.59E-06,-4.20E-06,-0.000791959,3.47E-07,4.44E-05,-3.71E-07,3.20E-05,0.035165054,-0.000116982,-0.000341188,3.99E-09,2.00E-06,-9.41E-05
8.45E-12,-1.81E-12,1.12E-11,-5.53E-11,4.27E-08,6.56E-09,-5.75E-11,3.13E-09,-1.18E-09,1.12E-08,-1.16E-09,4.24E-09,-5.47E-10,6.11E-10,5.64E-07,-1.60E-07,3.46E-10,-4.32E-11,1.82E-11,2.44E-08,1.35E-08,-3.66E-09,-2.02E-07,-1.83E-10,8.75E-09,-2.25E-11,-1.98E-09,1.28E-10,-2.51E-09,6.74E-07,-1.86E-06,-5.63E-07,-6.60E-13,5.30E-10,6.45E-09
-1.03E-11,2.42E-12,-6.99E-12,-1.95E-11,2.85E-08,3.85E-10,2.03E-10,4.38E-09,7.32E-10,-3.89E-09,-8.76E-10,-4.51E-10,2.00E-10,-1.30E-09,4.16E-08,-2.32E-08,-4.32E-11,3.82E-11,-5.36E-12,-1.98E-09,-3.89E-09,2.59E-10,8.03E-08,4.75E-10,-1.14E-07,3.74E-11,1.36E-09,9.65E-11,-1.27E-10,-5.88E-06,-8.29E-07,9.51E-09,2.03E-14,-1.72E-10,-5.98E-09
-9.10E-12,3.98E-12,-1.69E-11,-6.83E-11,1.24E-07,-1.99E-10,-3.38E-09,-1.37E-08,2.11E-09,2.37E-08,-1.46E-08,7.03E-08,-6.05E-09,-1.73E-08,-1.59E-08,3.71E-08,1.82E-11,-5.36E-12,3.69E-10,1.94E-08,-9.05E-10,-1.47E-09,2.04E-07,5.76E-10,1.56E-07,1.83E-10,-3.64E-09,3.13E-10,-5.00E-09,-9.88E-06,-2.22E-06,-2.32E-06,-2.05E-12,-8.66E-10,4.03E-08
9.57E-09,-2.51E-09,1.69E-08,1.44E-07,-5.56E-05,8.19E-07,-1.16E-06,-1.10E-05,-5.49E-06,-5.64E-06,1.48E-05,-9.40E-06,-4.82E-06,4.97E-06,-9.32E-06,1.45E-05,2.44E-08,-1.98E-09,1.94E-08,0.000478852,-3.51E-06,2.85E-05,0.000189798,-1.74E-06,-0.000226961,6.48E-08,-5.63E-06,4.20E-07,-1.86E-06,-0.056681499,-0.00133605,-0.002838063,-3.20E-09,-1.00E-07,-5.48E-05
8.17E-09,-3.29E-10,-1.56E-09,-1.17E-07,-3.06E-05,-1.44E-08,5.19E-07,9.57E-06,3.19E-07,7.31E-06,2.34E-06,8.07E-07,5.35E-07,5.82E-06,1.28E-05,9.56E-06,1.35E-08,-3.89E-09,-9.05E-10,-3.51E-06,0.000138848,-5.81E-05,0.000284657,-9.25E-08,-0.000324168,2.01E-07,2.35E-06,3.98E-07,1.19E-07,0.015705449,0.002515767,-0.00316253,-2.48E-09,-4.62E-07,-1.97E-05
1.20E-08,2.42E-09,-1.08E-08,-1.10E-07,4.48E-05,5.71E-06,-1.35E-07,-1.44E-05,3.83E-07,-4.69E-06,8.48E-07,-2.91E-06,-5.24E-06,1.56E-06,4.57E-05,-4.47E-05,-3.66E-09,2.59E-10,-1.47E-09,2.85E-05,-5.81E-05,0.00018515,-2.08E-05,1.57E-06,6.08E-05,-3.06E-07,-5.09E-06,-9.26E-08,-4.52E-07,-0.001579533,0.001905917,0.001363112,-1.84E-09,2.93E-07,4.06E-07
