"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38"
1.0637558790344096e-9,-2.1300371320624897e-11,-3.263090643804108e-11,-1.0427228677082174e-10,8.427672321278787e-8,1.1150809925641339e-9,6.8238374606016355e-9,3.1035332794189987e-9,-3.9895184725414565e-10,4.322398692829893e-9,9.617981798862766e-14,-7.995398191907084e-10,-9.182070314291959e-10,2.3783252961717856e-8,1.50527390545552e-8,-1.126161395960048e-11,1.4434257961322055e-11,4.961184996095807e-9,-9.505753580128084e-10,1.487742469933889e-8,-1.6253223984746358e-8,-9.343645089001583e-7,-1.8623928035884635e-5,4.0684391449098115e-9,-2.035565909727211e-9,1.730219916423268e-7,-7.639535893671764e-10,2.2075056922346088e-7,-1.912789040474523e-11,4.005270744585074e-8,1.966635712799179e-9,2.230672586421028e-9,-1.5546553429269795e-5,-1.086800194109504e-6,2.8071891515854426e-7,5.637450958379804e-13,-1.4116193322459603e-10,-7.948133989231797e-8
-2.1300371320624897e-11,3.3220475246999167e-10,-6.9719811608848045e-12,-1.2953739807677377e-10,2.0214218113712795e-8,-8.888372224341718e-10,3.2869454862842e-9,8.947316109563095e-10,3.1347563494554927e-10,3.4461057908651936e-9,-2.855360409629533e-10,2.061328682186938e-10,-7.019868818234592e-11,-2.3192096962316683e-8,-1.1550621375740576e-8,2.0384428754881694e-11,4.099806914460319e-12,-2.1096618120342736e-9,-2.614327183063676e-9,1.7379274371723252e-9,2.6248862020464143e-9,3.351095902718517e-7,-9.878531477241175e-6,1.0324302807603256e-8,-8.600969545165657e-10,5.263949026945824e-8,3.3216122020120923e-10,1.0556573498424601e-8,-1.0598141080116982e-10,-3.047594307343616e-9,4.263918189142682e-10,-5.211799750784067e-9,2.5197233301464684e-6,-1.2645534418080512e-7,6.431198332240243e-7,-3.972315260004894e-13,-3.5347272713718046e-10,3.002586909723034e-9
-3.263090643804108e-11,-6.9719811608848045e-12,3.7781446145999237e-10,-1.5228347832035472e-10,-2.3587481168147395e-8,2.509189493273745e-10,-2.368288780162608e-8,-1.4195865146271725e-9,8.867404809952893e-10,-1.40368518120287e-9,3.362535806795935e-9,-4.197804130604669e-10,-5.517886922911551e-10,8.067037114589197e-9,1.2007918297876159e-8,-3.145862135850902e-12,2.754938494379414e-12,4.1680003022527693e-10,8.270490399065505e-10,3.6622197377395664e-8,1.6222619175781699e-9,1.2568307804183716e-6,-1.7819020450016372e-5,-6.447328174321732e-8,2.99604394634904e-8,7.024102368815166e-8,-6.830547477258911e-9,8.426705387490272e-8,6.563589473516627e-11,6.376441898461102e-8,2.2884959184623103e-9,8.2038864054708e-9,1.6699024016901097e-8,2.889597068376131e-7,2.039266215248849e-7,3.408648814491899e-12,-1.0196290616982902e-10,-2.2028198730095077e-8
-1.0427228677082174e-10,-1.2953739807677377e-10,-1.5228347832035472e-10,2.795230311823085e-8,-1.3854591479719325e-7,1.5699193496108077e-9,-5.258137760832885e-8,-1.2703594665197644e-7,-4.181609786359001e-9,3.773398570007731e-8,-9.710449185170794e-9,3.4498668063752737e-9,-1.523869558849017e-9,1.5568686463439247e-7,1.483413406864671e-7,-1.3685701705310893e-10,-6.218497129463957e-11,-1.3231714647890411e-8,-4.975934119057203e-8,-1.0585300678987612e-8,-1.1625869655684829e-7,-9.136876971739433e-6,4.280550163236787e-5,2.67346734828563e-7,-8.039718689773845e-8,6.078324813425895e-8,3.9522415834601506e-8,-1.7346937027091316e-7,8.073297138688783e-10,-4.663147002527009e-7,-1.932198369398191e-8,-7.352298722290468e-8,2.578635023931161e-6,2.1802274606008957e-6,-2.0095809838590785e-6,-1.7178891583358844e-11,-2.6713400464798246e-9,6.373264691581528e-8
8.427672321278787e-8,2.0214218113712795e-8,-2.3587481168147395e-8,-1.3854591479719325e-7,0.010529182092155635,-6.160467884356456e-7,2.9140187285894782e-5,-7.174910770858729e-6,-2.708511055131328e-6,-1.384221919528195e-5,-1.2830057994806525e-5,-7.508065909610285e-7,1.370912022212844e-7,-1.4392734146318862e-5,8.527642074373958e-6,5.4594371344430015e-9,3.299042832407764e-8,2.3980698631701024e-5,1.2786291247305626e-5,7.227864072852044e-5,1.0103844350010646e-5,-0.0029200461180281774,0.020592977377560138,5.177084581695926e-6,4.015950499054058e-5,-0.0002501149104852524,9.06142765068061e-6,0.0001192726214760133,3.3092238226815186e-8,7.279790595401251e-6,1.7203997559402976e-6,-2.8472353896858595e-6,0.014911646813725254,-0.0005432887609346446,0.00039165359249569427,-2.6481586978956654e-9,-1.4855157731675453e-7,0.0002648905621497323
1.1150809925641339e-9,-8.888372224341718e-10,2.509189493273745e-10,1.5699193496108077e-9,-6.160467884356456e-7,5.264692956006496e-7,-2.0227428679519793e-7,-3.950664735052025e-8,-1.4883260353095051e-8,-4.323819307183444e-7,1.5249487017461408e-8,-3.939008364250192e-9,7.249821040429732e-9,-1.019108768047103e-6,-6.741657380417749e-7,8.201379256767274e-10,-8.723980733802826e-11,-1.0091433178716411e-7,-3.083505891074832e-8,-5.743995608078236e-7,-2.1746569110256972e-7,-5.923068019979887e-5,-1.145576219210764e-5,1.6869651413873354e-7,-3.9684461837689787e-7,-6.144399897911119e-6,-1.7370499878705034e-8,-5.658471082238145e-6,1.71725007471554e-9,-1.2931974061460555e-6,-6.168942677092231e-8,-2.2120096622857134e-7,0.00045100287388574284,3.4781627774177664e-5,-4.283236229607709e-5,-2.2201530275720604e-11,4.318588117993049e-9,2.699861534893007e-6
6.8238374606016355e-9,3.2869454862842e-9,-2.368288780162608e-8,-5.258137760832885e-8,2.9140187285894782e-5,-2.0227428679519793e-7,8.448557306093173e-5,-6.62289759186873e-7,2.2412425506004326e-8,7.918035485989892e-7,-2.839297785157299e-7,-2.3412071482860723e-7,1.717253314792385e-7,-6.715613496672849e-6,3.050165475103317e-6,3.023923309547981e-9,-7.189133090528224e-10,-8.381997434689298e-8,3.347828601405819e-6,2.923904945138963e-7,2.2854972433516028e-6,4.561963429032371e-5,0.0032764899104403087,7.854789600478004e-6,-7.24576815942339e-9,-6.703398268385986e-5,-8.44455118171189e-7,-6.087145143304146e-5,-2.3302280426934565e-8,-5.166751324879493e-6,-6.394484947142017e-7,4.139151428071669e-6,0.0044675160505039495,0.00028292798736422547,-0.0006022254682735899,1.539511833034988e-10,4.93813381447743e-8,2.1368324252168064e-5
3.1035332794189987e-9,8.947316109563095e-10,-1.4195865146271725e-9,-1.2703594665197644e-7,-7.174910770858729e-6,-3.950664735052025e-8,-6.62289759186873e-7,1.0774616833708493e-5,8.614068720350294e-10,5.344972407589685e-7,5.946929657982712e-7,3.973416820526003e-7,-2.7165927613265218e-8,-1.928917210192363e-6,4.195978532770274e-6,1.1940872681455241e-9,-2.0507969939364434e-9,6.843884059562799e-9,-7.540793590935983e-7,8.1242714940342e-6,-1.041047879387866e-6,-0.0001946017290328772,-0.0022754883184262073,1.0571266667862028e-5,-7.1246486523758245e-6,-1.143205474727892e-5,6.975610820093873e-7,3.8600632960529535e-6,-6.56393613982395e-9,-8.958419227570937e-6,-4.1529829114772267e-7,-5.796053364806142e-7,0.0017923169659765752,4.6258061603158945e-5,2.965501274757693e-5,-2.2830193131033951e-10,7.223317318874629e-8,3.825934110303962e-6
-3.9895184725414565e-10,3.1347563494554927e-10,8.867404809952893e-10,-4.181609786359001e-9,-2.708511055131328e-6,-1.4883260353095051e-8,2.2412425506004326e-8,8.614068720350294e-10,2.4864069982842436e-5,-7.809370476935972e-7,5.582971958806245e-7,-2.6731788952404193e-7,-4.4849556118101015e-8,1.330652094559329e-6,4.4108371756139365e-7,-1.272225406448239e-10,8.76616992448006e-10,3.41683979213175e-7,-1.3595800867634774e-6,-4.000786677140036e-6,3.752987961787866e-6,6.28313766578298e-5,0.0006223783027145373,2.8292470225506026e-7,-7.464376081622279e-7,-9.796593077435342e-6,-1.4354569167727526e-7,6.878110450649957e-6,-5.84989835878193e-9,-2.8569719724582994e-6,-2.10940279606183e-7,5.459596232641945e-7,-0.001668913426133702,-0.00013820457563687772,-2.957798727987746e-5,-1.1999845746804217e-11,3.276301267708487e-8,-1.1599034056914439e-5
4.322398692829893e-9,3.4461057908651936e-9,-1.40368518120287e-9,3.773398570007731e-8,-1.384221919528195e-5,-4.323819307183444e-7,7.918035485989892e-7,5.344972407589685e-7,-7.809370476935972e-7,0.00038320677857236416,9.840797616585245e-7,-7.06529006512911e-7,1.6321782483319372e-7,1.0406765897291575e-5,0.00035023088931430155,4.642242442873368e-9,-1.925848390699515e-8,-1.8634152690552901e-6,6.701646486439093e-7,-1.5254625616828316e-5,5.970495998730648e-6,0.0008092616079541276,-0.0019136592832010887,7.320623488438158e-6,5.5317611815430445e-6,6.866589261599788e-7,-1.2020734345119307e-6,-2.5282820761968623e-5,9.268959032171901e-8,3.968306410534135e-6,9.162027182108624e-8,3.2992061959335635e-6,-0.012718343079411729,-0.0005499664945619943,0.001512523266525868,5.80070180822485e-10,7.951331867069519e-8,-2.3927384456674107e-5
